sp_key,n_cells_br
Fis-24920,98
Fis-24921,25
Fis-24922,106
Fis-24923,1304
Fis-24925,32
Fis-24926,194
Fis-24927,466
Fis-24929,1286
Fis-24930,3274
Fis-24931,1165
Fis-24933,78
Fis-24934,22
Fis-24935,86
Fis-24936,128
Fis-24937,8
Fis-24938,665
Fis-24939,167
Fis-24940,721
Fis-24941,594
Fis-24942,127
Fis-24943,167
Fis-24945,165
Fis-24946,1
Fis-24947,799
Fis-24948,29
Fis-24949,109
Fis-24950,526
Fis-24951,472
Fis-24952,39
Fis-24953,56
Fis-24954,37
Fis-24955,330
Fis-24956,36
Fis-24957,715
Fis-24959,249
Fis-24960,161
Fis-24961,33
Fis-24962,34
Fis-24963,87
Fis-24964,31
Fis-24965,185
Fis-24966,49
Fis-24967,35
Fis-24968,226
Fis-24969,84
Fis-24970,82
Fis-24971,198
Fis-24972,38
Fis-24974,222
Fis-24975,596
Fis-24976,567
Fis-24977,43
Fis-24978,91
Fis-24979,431
Fis-24980,37
Fis-24981,49
Fis-24982,171
Fis-24983,33
Fis-24984,41
Fis-24985,28
Fis-24986,26
Fis-24987,240
Fis-24988,507
Fis-24990,25
Fis-24991,139
Fis-24992,188
Fis-24993,13
Fis-24994,149
Fis-24995,166
Fis-24996,106
Fis-24997,121
Fis-24998,68
Fis-24999,7
Fis-25000,16
Fis-25001,1006
Fis-25002,113
Fis-25003,28
Fis-25004,59
Fis-25008,1
Fis-25010,246
Fis-25011,55
Fis-25012,171
Fis-25013,113
Fis-25014,115
Fis-25016,312
Fis-25017,61
Fis-25018,33
Fis-25019,78
Fis-25020,220
Fis-25022,188
Fis-25024,114
Fis-25025,818
Fis-25026,31
Fis-25027,108
Fis-25028,142
Fis-25031,825
Fis-25032,198
Fis-25034,685
Fis-25035,519
Fis-25036,53
Fis-25037,53
Fis-25038,37
Fis-25039,13
Fis-25040,140
Fis-25041,82
Fis-25042,98
Fis-25045,73
Fis-25046,66
Fis-25050,41
Fis-25051,20
Fis-25052,208
Fis-25087,1
Fis-25127,2
Fis-25133,17
Fis-25136,360
Fis-25150,6
Fis-25151,410
Fis-25165,2426
Fis-25169,122
Fis-25178,2654
Fis-2518,270
Fis-25198,285
Fis-25233,568
Fis-25293,25
Fis-25351,1
Fis-25403,424
Fis-25410,245
Fis-25413,315
Fis-25421,392
Fis-25434,335
Fis-25437,999
Fis-25455,68
Fis-25456,1753
Fis-25469,1278
Fis-25471,1
Fis-25475,2566
Fis-25477,381
Fis-25557,123
Fis-25561,23
Fis-25573,1540
Fis-25598,2
Fis-25617,212
Fis-25618,180
Fis-25619,1
Fis-25629,67
Fis-25646,233
Fis-25720,1
Fis-25827,2
Fis-25834,2
Fis-25899,451
Fis-26176,26
Fis-26185,18
Fis-26206,1164
Fis-26207,815
Fis-26208,753
Fis-26212,1
Fis-26216,22
Fis-26246,24
Fis-26249,33
Fis-26339,1
Fis-26343,1
Fis-26348,300
Fis-26349,1859
Fis-26350,2344
Fis-26351,1761
Fis-26352,2640
Fis-26357,848
Fis-26373,956
Fis-26412,155
Fis-26433,1
Fis-26434,1
Fis-26441,1
Fis-26466,22
Fis-26477,5
Fis-26478,1
Fis-26479,8
Fis-26493,241
Fis-26521,16
Fis-26523,513
Fis-26525,1
Fis-26527,1091
Fis-26531,1021
Fis-26532,1042
Fis-26533,813
Fis-26534,792
Fis-26537,812
Fis-26538,431
Fis-26540,26
Fis-26541,414
Fis-26546,22
Fis-26550,286
Fis-26556,1
Fis-26564,164
Fis-26565,776
Fis-26569,1
Fis-26572,73
Fis-26580,169
Fis-26581,13
Fis-26582,167
Fis-26587,233
Fis-26588,308
Fis-26590,238
Fis-26599,155
Fis-26604,43
Fis-26609,2225
Fis-26611,353
Fis-26612,37
Fis-26621,1
Fis-26628,1
Fis-26633,59
Fis-26644,730
Fis-26654,1
Fis-26655,1
Fis-26658,1
Fis-26659,17
Fis-26666,1
Fis-26672,1
Fis-26676,1
Fis-26677,1
Fis-26685,11
Fis-26702,26
Fis-26703,1
Fis-26786,15
Fis-26829,1
Fis-26843,59
Fis-26851,552
Fis-26886,92
Fis-26887,56
Fis-26908,23
Fis-26911,165
Fis-26914,17
Fis-26926,142
Fis-26931,1
Fis-26932,1
Fis-26933,48
Fis-26938,1
Fis-26941,22
Fis-26942,19
Fis-26950,23
Fis-26952,1
Fis-26953,31
Fis-26955,2
Fis-26997,178
Fis-27009,50
Fis-27011,134
Fis-27015,280
Fis-27016,1134
Fis-27025,1210
Fis-27028,998
Fis-27030,127
Fis-27031,78
Fis-27032,219
Fis-27038,1
Fis-27039,119
Fis-27043,42
Fis-27049,447
Fis-27051,3
Fis-27055,95
Fis-27056,329
Fis-27057,287
Fis-27129,136
Fis-27135,78
Fis-27186,226
Fis-27194,813
Fis-27197,129
Fis-27214,43
Fis-27224,185
Fis-27226,244
Fis-27227,150
Fis-27229,372
Fis-27230,68
Fis-27242,317
Fis-27245,1535
Fis-27249,233
Fis-27254,501
Fis-27260,477
Fis-27265,164
Fis-27266,154
Fis-27268,154
Fis-27269,863
Fis-27275,3450
Fis-27276,94
Fis-27277,271
Fis-27280,138
Fis-27282,338
Fis-27285,29
Fis-27295,204
Fis-27299,1519
Fis-27300,414
Fis-27301,505
Fis-27302,732
Fis-27303,265
Fis-27304,397
Fis-27305,406
Fis-27308,432
Fis-27309,184
Fis-27310,214
Fis-27311,202
Fis-27312,191
Fis-27313,256
Fis-27333,1
Fis-27351,52
Fis-27382,160
Fis-27531,419
Fis-27598,2881
Fis-27688,33
Fis-27691,223
Fis-27692,898
Fis-27694,1
Fis-27695,689
Fis-27697,717
Fis-27700,788
Fis-27714,311
Fis-27715,565
Fis-27737,645
Fis-27739,521
Fis-27740,188
Fis-27745,1
Fis-27752,467
Fis-27768,433
Fis-27770,511
Fis-27813,317
Fis-27823,1
Fis-27829,1
Fis-27841,217
Fis-27873,16
Fis-27881,27
Fis-27883,58
Fis-27920,131
Fis-27931,19
Fis-27941,364
Fis-27977,89
Fis-27984,1000
Fis-28101,625
Fis-28109,2760
Fis-28112,2994
Fis-28129,1333
Fis-28135,653
Fis-28136,2374
Fis-28151,1
Fis-28156,910
Fis-28170,3021
Fis-28171,69
Fis-28175,249
Fis-28178,2345
Fis-28181,1101
Fis-28182,221
Fis-28184,192
Fis-28185,382
Fis-28186,535
Fis-28188,749
Fis-28189,731
Fis-28191,432
Fis-28192,817
Fis-28196,1168
Fis-28200,712
Fis-28201,264
Fis-28203,489
Fis-28209,7
Fis-28216,18
Fis-28224,2232
Fis-28234,86
Fis-28238,770
Fis-28239,1242
Fis-28240,1018
Fis-28255,182
Fis-28432,443
Fis-28436,50
Fis-28451,480
Fis-28456,1
Fis-28471,51
Fis-28506,164
Fis-28508,18
Fis-28515,115
Fis-28541,1270
Fis-28563,1
Fis-28566,1
Fis-28586,9
Fis-28587,1
Fis-28613,30
Fis-28614,124
Fis-28615,123
Fis-28616,92
Fis-28620,121
Fis-28621,10
Fis-28624,6
Fis-28649,23
Fis-28660,1
Fis-28669,1
Fis-28672,1
Fis-28673,154
Fis-28683,2
Fis-28689,35
Fis-28726,27
Fis-28744,1
Fis-28745,58
Fis-28751,60
Fis-28754,34
Fis-28758,56
Fis-28825,639
Fis-28850,1
Fis-28931,101
Fis-28933,36
Fis-28944,37
Fis-28955,1
Fis-28975,1
Fis-28976,1
Fis-28978,33
Fis-29016,177
Fis-29039,3
Fis-29051,51
Fis-29198,175
Fis-29205,268
Fis-29256,109
Fis-29261,237
Fis-29263,3383
Fis-29264,63
Fis-29268,126
Fis-29275,78
Fis-29281,63
Fis-29285,127
Fis-29286,121
Fis-29290,821
Fis-29291,1237
Fis-29292,306
Fis-29299,594
Fis-29301,129
Fis-29302,332
Fis-29316,151
Fis-29317,197
Fis-29326,6
Fis-29328,831
Fis-29338,905
Fis-29344,154
Fis-29358,1307
Fis-29359,126
Fis-29360,179
Fis-29361,153
Fis-29367,96
Fis-29369,105
Fis-29378,348
Fis-29380,460
Fis-29383,51
Fis-29384,134
Fis-29387,157
Fis-29388,372
Fis-29391,20
Fis-29393,942
Fis-29394,129
Fis-29416,325
Fis-29417,105
Fis-29418,1265
Fis-29419,75
Fis-29420,59
Fis-29421,215
Fis-29423,1237
Fis-29424,37
Fis-29426,2489
Fis-29427,750
Fis-29428,269
Fis-29432,208
Fis-29435,261
Fis-29441,1
Fis-29445,76
Fis-29447,1575
Fis-29454,941
Fis-29457,581
Fis-29470,239
Fis-29471,184
Fis-29472,110
Fis-29501,121
Fis-29506,47
Fis-29507,629
Fis-29508,135
Fis-29513,1
Fis-29520,70
Fis-29522,1
Fis-29523,560
Fis-29530,242
Fis-29531,571
Fis-29532,290
Fis-29533,164
Fis-29541,77
Fis-29563,103
Fis-29576,3452
Fis-29577,40
Fis-29585,134
Fis-29588,133
Fis-29594,61
Fis-29601,1100
Fis-29618,93
Fis-29619,106
Fis-29620,1037
Fis-29623,28
Fis-29624,20
Fis-29625,118
Fis-29626,36
Fis-29627,1133
Fis-29628,1244
Fis-29631,46
Fis-29639,311
Fis-29640,333
Fis-29641,99
Fis-29643,170
Fis-29645,10
Fis-29646,136
Fis-29648,114
Fis-29649,182
Fis-29650,2271
Fis-29659,71
Fis-29660,107
Fis-29662,36
Fis-29663,119
Fis-29664,107
Fis-29665,31
Fis-29667,69
Fis-29669,803
Fis-29683,67
Fis-29687,41
Fis-29704,77
Fis-29723,793
Fis-29724,48
Fis-29725,1686
Fis-29727,383
Fis-29728,1313
Fis-29730,137
Fis-29731,946
Fis-29732,561
Fis-29733,203
Fis-29734,236
Fis-29735,113
Fis-29736,1870
Fis-29737,32
Fis-29738,811
Fis-29739,65
Fis-29740,122
Fis-29741,161
Fis-29743,478
Fis-29744,98
Fis-29746,14
Fis-29747,231
Fis-29748,216
Fis-29749,148
Fis-29750,303
Fis-29756,113
Fis-29758,6
Fis-29759,1
Fis-29786,10
Fis-29787,28
Fis-29788,24
Fis-29789,132
Fis-29790,111
Fis-29791,53
Fis-29792,48
Fis-29795,344
Fis-29799,78
Fis-29800,2548
Fis-29801,2859
Fis-29802,24
Fis-29810,3
Fis-29813,115
Fis-29814,192
Fis-29815,117
Fis-29855,179
Fis-29858,386
Fis-29863,208
Fis-29865,113
Fis-29866,70
Fis-29867,177
Fis-29868,83
Fis-29869,10
Fis-29870,151
Fis-29871,124
Fis-29874,83
Fis-29875,174
Fis-29876,19
Fis-29877,3622
Fis-29879,830
Fis-29880,3305
Fis-29881,99
Fis-29882,146
Fis-29883,3
Fis-29899,227
Fis-29903,53
Fis-29908,1
Fis-29909,278
Fis-29911,1422
Fis-29912,217
Fis-29926,292
Fis-29927,284
Fis-29936,14
Fis-29937,33
Fis-29938,73
Fis-29939,167
Fis-29940,78
Fis-29941,89
Fis-29944,115
Fis-29948,85
Fis-29950,97
Fis-29951,32
Fis-29952,210
Fis-29953,175
Fis-30014,814
Fis-30015,162
Fis-30017,424
Fis-30018,205
Fis-30019,339
Fis-30020,376
Fis-30023,85
Fis-30025,24
Fis-30039,1266
Fis-30040,25
Fis-30041,1054
Fis-30042,44
Fis-30043,44
Fis-30050,104
Fis-30051,70
Fis-30052,35
Fis-30053,601
Fis-30054,209
Fis-30055,106
Fis-30056,135
Fis-30057,57
Fis-30059,19
Fis-30060,233
Fis-30061,218
Fis-30062,55
Fis-30067,96
Fis-30075,631
Fis-30076,113
Fis-30077,121
Fis-30082,256
Fis-30083,175
Fis-30084,208
Fis-30085,842
Fis-30087,190
Fis-30092,91
Fis-30093,64
Fis-30094,197
Fis-30096,180
Fis-30109,36
Fis-30112,316
Fis-30113,25
Fis-30115,107
Fis-30116,91
Fis-30117,222
Fis-30122,126
Fis-30130,276
Fis-30133,47
Fis-30134,48
Fis-30135,123
Fis-30136,34
Fis-30146,2406
Fis-30147,2406
Fis-30152,44
Fis-30155,33
Fis-30156,124
Fis-30182,248
Fis-30188,250
Fis-30195,73
Fis-30202,217
Fis-30243,88
Fis-30244,156
Fis-30246,156
Fis-30247,234
Fis-30248,1023
Fis-30250,813
Fis-30255,2718
Fis-30256,2417
Fis-30257,853
Fis-30258,678
Fis-30259,877
Fis-30260,594
Fis-30261,224
Fis-30263,1209
Fis-30264,478
Fis-30265,56
Fis-30266,281
Fis-30267,85
Fis-30268,1047
Fis-30269,243
Fis-30270,146
Fis-30273,2539
Fis-30275,34
Fis-30276,154
Fis-30286,45
Fis-30294,163
Fis-30295,104
Fis-30318,203
Fis-30319,296
Fis-30322,244
Fis-30323,36
Fis-30324,3
Fis-30325,185
Fis-30327,251
Fis-30328,4
Fis-30329,37
Fis-30330,48
Fis-30331,279
Fis-30332,117
Fis-30333,249
Fis-30334,343
Fis-30335,14
Fis-30336,136
Fis-30341,915
Fis-30348,1
Fis-30349,2279
Fis-30350,27
Fis-30351,21
Fis-30352,29
Fis-30353,240
Fis-30354,236
Fis-30362,1688
Fis-30430,263
Fis-30431,228
Fis-30432,139
Fis-30433,2
Fis-30437,225
Fis-30439,22
Fis-30442,124
Fis-30453,77
Fis-30454,192
Fis-30456,83
Fis-30458,221
Fis-30466,268
Fis-30477,347
Fis-30480,54
Fis-30485,115
Fis-30487,32
Fis-30490,189
Fis-30496,96
Fis-30497,107
Fis-30505,265
Fis-30510,162
Fis-30511,140
Fis-30512,217
Fis-30513,23
Fis-30514,121
Fis-30515,242
Fis-30516,662
Fis-30518,370
Fis-30523,1052
Fis-30524,1035
Fis-30525,1062
Fis-30530,476
Fis-30555,802
Fis-30556,620
Fis-30564,323
Fis-30573,170
Fis-30575,3207
Fis-30577,33
Fis-30583,1180
Fis-30588,566
Fis-30589,278
Fis-30590,149
Fis-30592,372
Fis-30603,266
Fis-30604,284
Fis-30605,251
Fis-30606,181
Fis-30607,147
Fis-30608,125
Fis-30609,118
Fis-30610,350
Fis-30614,118
Fis-30616,125
Fis-30617,234
Fis-30618,252
Fis-30619,151
Fis-30620,103
Fis-30621,77
Fis-30622,105
Fis-30623,216
Fis-30628,100
Fis-30629,28
Fis-30630,367
Fis-30631,172
Fis-30632,787
Fis-30633,172
Fis-30634,208
Fis-30635,38
Fis-30636,72
Fis-30637,213
Fis-30639,583
Fis-30641,159
Fis-30642,156
Fis-30643,481
Fis-30644,128
Fis-30645,36
Fis-30649,20
Fis-30655,49
Fis-30656,190
Fis-30657,24
Fis-30659,139
Fis-30660,208
Fis-30661,181
Fis-30664,1122
Fis-30665,106
Fis-30668,80
Fis-30669,312
Fis-30672,48
Fis-30674,73
Fis-30675,253
Fis-30676,35
Fis-30681,70
Fis-30682,900
Fis-30683,577
Fis-30690,40
Fis-30691,18
Fis-30692,276
Fis-30693,106
Fis-30694,130
Fis-30695,137
Fis-30698,240
Fis-30706,244
Fis-30707,2368
Fis-30708,1703
Fis-30710,1195
Fis-30711,2035
Fis-30712,369
Fis-30732,26
Fis-30736,1409
Fis-30737,1408
Fis-30742,411
Fis-30750,23
Fis-30752,314
Fis-30753,26
Fis-30756,220
Fis-30757,767
Fis-30758,25
Fis-30759,42
Fis-30760,463
Fis-30763,54
Fis-30764,799
Fis-30765,60
Fis-30766,296
Fis-30767,28
Fis-30768,64
Fis-30769,88
Fis-30771,1302
Fis-30772,27
Fis-30773,819
Fis-30774,803
Fis-30775,191
Fis-30777,901
Fis-30779,201
Fis-30781,315
Fis-30783,62
Fis-30784,49
Fis-30785,239
Fis-30786,273
Fis-30787,227
Fis-30788,28
Fis-30806,246
Fis-30807,827
Fis-30808,233
Fis-30809,29
Fis-30810,270
Fis-30811,248
Fis-30812,509
Fis-30813,227
Fis-30815,217
Fis-30816,369
Fis-30817,945
Fis-30818,28
Fis-30819,1322
Fis-30820,122
Fis-30821,504
Fis-30822,263
Fis-30823,25
Fis-30824,248
Fis-30825,243
Fis-30827,128
Fis-30828,1408
Fis-30829,805
Fis-30830,66
Fis-30832,646
Fis-30833,226
Fis-30834,666
Fis-30835,1269
Fis-30836,514
Fis-30837,434
Fis-30838,108
Fis-30840,215
Fis-30841,478
Fis-30842,396
Fis-30843,744
Fis-30844,167
Fis-30845,133
Fis-30846,165
Fis-30847,530
Fis-30848,2229
Fis-30850,447
Fis-30851,513
Fis-30852,108
Fis-30854,149
Fis-30855,249
Fis-30856,485
Fis-30857,63
Fis-30858,813
Fis-30859,160
Fis-30860,306
Fis-30861,300
Fis-30862,137
Fis-30864,821
Fis-30865,544
Fis-30866,272
Fis-30867,33
Fis-30868,81
Fis-30869,217
Fis-30870,195
Fis-30871,244
Fis-30872,76
Fis-30873,245
Fis-30874,249
Fis-30875,203
Fis-30876,217
Fis-30877,217
Fis-30878,43
Fis-30879,249
Fis-30880,718
Fis-30881,806
Fis-30882,312
Fis-30883,100
Fis-30886,12
Fis-30887,135
Fis-30888,987
Fis-30889,520
Fis-30890,104
Fis-30891,53
Fis-30892,127
Fis-30893,128
Fis-30894,212
Fis-30896,76
Fis-30898,160
Fis-30899,200
Fis-30900,219
Fis-30901,86
Fis-30902,56
Fis-30903,38
Fis-30905,656
Fis-30906,233
Fis-30907,91
Fis-30908,24
Fis-30909,69
Fis-30910,75
Fis-30917,53
Fis-30919,3016
Fis-30920,1148
Fis-30921,129
Fis-30979,200
Fis-30985,952
Fis-30987,323
Fis-30992,31
Fis-30993,41
Fis-31001,1081
Fis-31004,363
Fis-31020,2686
Fis-31023,713
Fis-31054,407
Fis-31105,583
Fis-31134,1
Fis-31146,11
Fis-31163,414
Fis-31164,1515
Fis-31166,433
Fis-31177,311
Fis-31199,227
Fis-31210,800
Fis-31211,292
Fis-31213,214
Fis-31214,902
Fis-31215,202
Fis-31217,296
Fis-31234,432
Fis-31235,2395
Fis-31237,2904
Fis-31240,3238
Fis-31241,1262
Fis-31242,524
Fis-31244,1
Fis-31246,523
Fis-31254,151
Fis-31255,378
Fis-31256,1291
Fis-31271,2993
Fis-31311,171
Fis-31335,422
Fis-31390,6
Fis-31401,427
Fis-31547,17
Fis-31568,263
Fis-31577,288
Fis-31578,444
Fis-31822,36
Fis-31825,25
Fis-31835,2
Fis-31868,9
Fis-31894,101
Fis-31895,1
Fis-31913,17
Fis-32102,3156
Fis-32103,3365
Fis-32104,3302
Fis-32108,157
Fis-32113,655
Fis-32123,713
Fis-32138,748
Fis-32247,1
Fis-32269,1
Fis-32276,1
Fis-32303,343
Fis-32327,1627
Fis-32329,8
Fis-32330,1569
Fis-32332,1264
Fis-32334,673
Fis-32336,779
Fis-32337,1
Fis-32339,452
Fis-32340,1046
Fis-32343,529
Fis-32344,748
Fis-32345,204
Fis-32347,740
Fis-32349,564
Fis-32350,2103
Fis-32351,427
Fis-32353,536
Fis-32354,576
Fis-32355,848
Fis-32357,163
Fis-32359,347
Fis-32360,46
Fis-32361,984
Fis-32362,2072
Fis-32366,14
Fis-32376,1
Fis-32377,397
Fis-32379,1598
Fis-32380,1
Fis-32387,100
Fis-32390,121
Fis-32392,138
Fis-32396,1
Fis-32398,315
Fis-32400,10
Fis-32401,108
Fis-32403,140
Fis-32409,245
Fis-32411,184
Fis-32414,197
Fis-32415,1
Fis-32421,518
Fis-32423,188
Fis-32431,1
Fis-32435,81
Fis-32441,47
Fis-32442,25
Fis-32456,36
Fis-32457,1454
Fis-32485,27
Fis-32495,188
Fis-32524,1
Fis-32556,4
Fis-32628,1
Fis-32655,66
Fis-32663,4
Fis-32668,19
Fis-32690,2
Fis-32714,293
Fis-32717,13
Fis-32739,22
Fis-32746,1
Fis-32747,6
Fis-32753,1
Fis-32756,18
Fis-32757,9
Fis-32767,3
Fis-32807,1
Fis-32815,287
Fis-32820,209
Fis-32839,360
Fis-32844,118
Fis-32846,151
Fis-32885,34
Fis-32889,225
Fis-32896,111
Fis-32958,109
Fis-32962,37
Fis-32973,86
Fis-33013,30
Fis-33019,510
Fis-33023,64
Fis-33024,43
Fis-33095,158
Fis-33096,723
Fis-33097,549
Fis-33102,48
Fis-33110,1007
Fis-33111,248
Fis-33124,498
Fis-33128,159
Fis-33129,273
Fis-33130,265
Fis-33132,301
Fis-33133,98
Fis-33135,423
Fis-33142,634
Fis-33145,183
Fis-33146,965
Fis-33148,1018
Fis-33155,2143
Fis-33156,581
Fis-33157,181
Fis-33178,1383
Fis-33179,1640
Fis-33180,737
Fis-33181,2084
Fis-33186,67
Fis-33188,313
Fis-33191,1337
Fis-33196,113
Fis-33198,54
Fis-33202,26
Fis-33203,368
Fis-33206,254
Fis-33210,248
Fis-33213,182
Fis-33215,402
Fis-33217,176
Fis-33219,934
Fis-33221,296
Fis-33224,302
Fis-33227,400
Fis-33231,32
Fis-33232,205
Fis-33234,446
Fis-33245,61
Fis-33413,1751
Fis-33699,31
Fis-33734,645
Fis-33740,486
Fis-33746,291
Fis-33786,215
Fis-33787,319
Fis-33788,555
Fis-33789,932
Fis-33790,2648
Fis-33793,350
Fis-33794,498
Fis-33796,851
Fis-33797,693
Fis-33798,324
Fis-33799,504
Fis-33801,712
Fis-33802,390
Fis-33804,1773
Fis-33810,503
Fis-33812,469
Fis-33819,1083
Fis-33821,1240
Fis-33828,118
Fis-33835,4
Fis-33843,508
Fis-33845,627
Fis-33850,1
Fis-33858,19
Fis-33860,670
Fis-33901,36
Fis-33920,35
Fis-33925,475
Fis-33933,534
Fis-33941,49
Fis-33957,46
Fis-33966,1
Fis-33989,330
Fis-34025,26
Fis-34027,50
Fis-34039,59
Fis-34040,69
Fis-34071,33
Fis-34072,28
Fis-34088,3
Fis-34101,11
Fis-34140,1
Fis-34147,714
Fis-34199,230
Fis-34201,294
Fis-34206,2214
Fis-34233,195
Fis-34410,859
Fis-34480,142
Fis-34593,2161
Fis-34595,962
Fis-34615,2228
Fis-34636,303
Fis-34639,1915
Fis-34692,2444
Fis-34702,1002
Fis-34710,343
Fis-34713,1931
Fis-34720,1
Fis-34725,55
Fis-34762,364
Fis-34764,170
Fis-34768,393
Fis-34769,483
Fis-34776,2206
Fis-34778,416
Fis-34779,282
Fis-34782,1667
Fis-34783,630
Fis-34785,723
Fis-34787,865
Fis-34790,601
Fis-34792,447
Fis-34793,9
Fis-34794,802
Fis-34795,699
Fis-34796,567
Fis-34797,74
Fis-34798,633
Fis-34800,542
Fis-34802,299
Fis-34803,432
Fis-34804,311
Fis-34805,492
Fis-34806,809
Fis-34809,552
Fis-34810,519
Fis-34812,721
Fis-34815,720
Fis-34817,624
Fis-34818,725
Fis-34820,382
Fis-34821,432
Fis-34823,527
Fis-34824,632
Fis-34825,643
Fis-34826,612
Fis-34827,2617
Fis-34828,204
Fis-34829,1035
Fis-34830,402
Fis-34831,2568
Fis-34834,484
Fis-34836,477
Fis-34837,371
Fis-34838,515
Fis-34840,353
Fis-34841,129
Fis-34843,15
Fis-34844,2
Fis-34846,528
Fis-34847,693
Fis-34848,1290
Fis-34849,363
Fis-34854,507
Fis-34857,155
Fis-34863,361
Fis-34865,946
Fis-34870,2
Fis-34887,341
Fis-34890,51
Fis-34920,55
Fis-34925,196
Fis-34956,28
Fis-34960,358
Fis-34964,170
Fis-34965,175
Fis-34966,256
Fis-34976,10
Fis-35002,18
Fis-35003,79
Fis-35004,161
Fis-35005,33
Fis-35007,31
Fis-35069,1834
Fis-35124,84
Fis-35155,397
Fis-35175,144
Fis-35176,66
Fis-35178,20
Fis-35190,58
Fis-35198,143
Fis-35216,256
Fis-35242,1388
Fis-35274,1
Fis-35294,1
Fis-35306,1
Fis-35313,1
Fis-35406,21
Fis-35414,1
Fis-35432,55
Fis-35439,1
Fis-35447,1
Fis-35448,1
Fis-35468,16
Fis-35470,611
Fis-35474,50
Fis-35514,972
Fis-35523,2
Fis-35565,26
Fis-35632,1
Fis-35643,29
Fis-35659,174
Fis-35694,5
Fis-35790,24
Fis-35801,52
Fis-35806,17
Fis-35863,1
Fis-35896,38
Fis-35907,1
Fis-35933,1
Fis-35943,434
Fis-35968,13
Fis-46974,1
Fis-46980,22
Fis-46992,23
Fis-47014,38
Fis-47020,51
Fis-47036,9
Fis-47050,32
Fis-47312,1
Fis-47447,79
Fis-47448,158
Fis-47451,113
Fis-47453,29
Fis-47467,117
Fis-47484,86
Fis-47519,466
Fis-47536,14
Fis-47542,2250
Fis-47563,27
Fis-47564,1
Fis-47566,40
Fis-47571,332
Fis-47575,28
Fis-47586,92
Fis-47643,3430
Fis-47646,187
Fis-47660,8
Fis-47739,535
Fis-47748,93
Fis-47773,478
Fis-47774,198
Fis-47814,329
Fis-47903,54
Fis-47953,1
Fis-48135,598
Fis-48156,1419
Fis-48198,885
Fis-48224,1134
Fis-48258,812
Fis-48267,168
Fis-48324,50
Fis-48922,354
Fis-48951,463
Fis-48978,816
Fis-49003,353
Fis-49043,570
Fis-49057,1390
Fis-49079,2272
Fis-49101,424
Fis-49155,472
Fis-49220,825
Fis-49353,185
Fis-49358,99
Fis-49365,19
Fis-49390,21
Fis-49406,37
Fis-49648,13
Fis-49668,307
Fis-49672,496
Fis-49685,27
Fis-49704,37
Fis-49707,23
Fis-49708,20
Fis-49711,752
Fis-49717,374
Fis-49718,37
Fis-49721,17
Fis-49729,2235
Fis-49734,71
Fis-49737,170
Fis-49750,1116
Fis-49752,483
Fis-49753,19
Fis-49755,537
Fis-49767,27
Fis-49777,352
Fis-49778,465
Fis-49780,389
Fis-49781,71
Fis-49782,117
Fis-49786,95
Fis-49789,133
Fis-49791,34
Fis-49795,115
Fis-49798,90
Fis-49799,70
Fis-49800,30
Fis-49805,131
Fis-49812,670
Fis-49828,555
Fis-49832,223
Fis-49834,66
Fis-49836,115
Fis-49843,35
Fis-49855,29
Fis-49870,2365
Fis-49883,601
Fis-49885,695
Fis-49887,181
Fis-49902,1699
Fis-49909,2191
Fis-49913,3308
Fis-49921,1205
Fis-49922,3320
Fis-49934,1108
Fis-49935,16
Fis-49936,74
Fis-49949,66
Fis-49952,699
Fis-49962,304
Fis-49970,174
Fis-49978,27
Fis-49983,703
Fis-49988,968
Fis-50003,43
Fis-50009,248
Fis-50030,1
Fis-50053,1836
Fis-50074,641
Fis-50075,381
Fis-50079,1033
Fis-50089,1597
Fis-50124,462
Fis-50127,1711
Fis-50130,458
Fis-50131,492
Fis-50152,461
Fis-50171,128
Fis-50194,171
Fis-50204,839
Fis-50206,1
Fis-50211,1
Fis-50246,92
Fis-50255,64
Fis-50272,35
Fis-50295,1360
Fis-50301,1285
Fis-50305,209
Fis-50311,2215
Fis-50313,3236
Fis-50361,1
Fis-50370,1912
Fis-50380,2625
Fis-50396,921
Fis-50410,852
Fis-50418,577
Fis-50427,482
Fis-50433,2870
Fis-50439,458
Fis-50449,2302
Fis-50455,74
Fis-50459,455
Fis-50462,2282
Fis-50465,973
Fis-50466,1554
Fis-50469,1885
Fis-50482,1
Fis-50483,963
Fis-50491,2432
Fis-50544,801
Fis-50553,163
Fis-50569,3169
Fis-50600,2647
Fis-50608,1654
Fis-50614,2408
Fis-50623,562
Fis-50631,2241
Fis-50633,1519
Fis-50636,1645
Fis-50714,743
Fis-50723,1
Fis-50737,273
Fis-50764,1771
Fis-50817,471
Fis-50837,981
Fis-50841,876
Fis-51000,935
Fis-51007,162
Fis-51015,20
Fis-51025,37
Fis-51030,14
Fis-51493,178
Fis-51602,2082
Fis-51630,1
Fis-52108,129
Fis-52109,66
Fis-52110,684
Fis-52113,39
Fis-52118,137
Fis-52119,791
Fis-52129,103
Fis-52138,73
Fis-52149,207
Fis-52159,472
Fis-52165,984
Fis-52166,122
Fis-52195,100
Fis-52203,1280
Fis-52255,47
Fis-52272,33
Fis-52282,2094
Fis-52317,47
Fis-52329,463
Fis-52342,473
Fis-52346,16
Fis-52352,1812
Fis-52356,3254
Fis-52460,36
Fis-52521,115
Fis-52566,258
Fis-52688,1525
Fis-52790,44
Fis-52791,1
Fis-52857,1501
Fis-52866,1
Fis-52868,1852
Fis-52878,507
