sp_key,n_cells_br
Fis-136019,1114
Fis-136332,10
Fis-13656,131
Fis-13659,3
Fis-136946,3757
Fis-137727,453
Fis-137761,3
Fis-138072,35
Fis-138075,189
Fis-138076,51
Fis-138078,156
Fis-138079,238
Fis-138094,84
Fis-138097,45
Fis-138137,98
Fis-138141,21
Fis-138158,165
Fis-138169,410
Fis-138175,248
Fis-138180,37
Fis-138183,77
Fis-138185,229
Fis-138326,13
Fis-138405,211
Fis-138460,361
Fis-138631,84
Fis-138739,40
Fis-138750,147
Fis-138820,1
Fis-138829,128
Fis-138923,432
Fis-138972,27
Fis-13933,93
Fis-139416,1275
Fis-139428,1208
Fis-139429,35
Fis-139478,363
Fis-139490,458
Fis-139510,30
Fis-139531,770
Fis-139534,202
Fis-139548,201
Fis-139556,4
Fis-139573,1330
Fis-139574,653
Fis-139575,415
Fis-139599,83
Fis-139602,920
Fis-139614,76
Fis-139713,2120
Fis-139714,250
Fis-139718,401
Fis-139727,750
Fis-139728,93
Fis-139729,3026
Fis-139857,141
Fis-140102,19
Fis-140563,310
Fis-140586,290
Fis-140909,299
Fis-140932,256
Fis-141387,474
Fis-141420,465
Fis-141437,22
Fis-141443,229
Fis-141455,26
Fis-141459,70
Fis-141473,129
Fis-141479,70
Fis-141481,170
Fis-141491,147
Fis-141515,19
Fis-141754,14
Fis-141776,1
Fis-141885,50
Fis-142112,1
Fis-14212,154
Fis-142245,16
Fis-142259,100
Fis-142342,572
Fis-142378,182
Fis-142431,467
Fis-142436,537
Fis-142473,297
Fis-142912,1
Fis-143083,381
Fis-143316,73
Fis-143317,173
Fis-143318,185
Fis-143346,91
Fis-143347,140
Fis-143395,200
Fis-143421,26
Fis-143470,152
Fis-143499,15
Fis-143506,46
Fis-143532,199
Fis-143534,442
Fis-143552,352
Fis-143556,176
Fis-143560,197
Fis-143627,9
Fis-143631,78
Fis-143661,46
Fis-143712,93
Fis-143715,195
Fis-143719,118
Fis-143722,248
Fis-143726,42
Fis-143729,1
Fis-143735,1275
Fis-143737,138
Fis-143777,2079
Fis-143830,3
Fis-143843,450
Fis-143852,190
Fis-143857,476
Fis-143859,1423
Fis-143867,515
Fis-143868,1790
Fis-143870,702
Fis-143873,748
Fis-14391,548
Fis-143997,43
Fis-144015,299
Fis-144041,420
Fis-144053,894
Fis-144056,15
Fis-144074,237
Fis-144078,38
Fis-144084,1191
Fis-144121,116
Fis-144140,42
Fis-144156,52
Fis-144180,52
Fis-144240,315
Fis-144330,439
Fis-144364,22
Fis-144394,7
Fis-144593,1
Fis-144842,126
Fis-144904,207
Fis-144984,134
Fis-144987,185
Fis-144995,71
Fis-145065,192
Fis-145097,100
Fis-145135,128
Fis-145225,435
Fis-145263,21
Fis-145350,45
Fis-145360,1
Fis-14540,369
Fis-145428,1230
Fis-145434,140
Fis-145532,47
Fis-145536,5
Fis-145639,82
Fis-146027,70
Fis-146038,131
Fis-146072,489
Fis-146077,236
Fis-14615,6
Fis-146179,1
Fis-146181,1
Fis-14620,31
Fis-146372,136
Fis-146555,8
Fis-146573,344
Fis-146607,8
Fis-146734,1
Fis-146809,62
Fis-147633,1914
Fis-147679,224
Fis-147696,370
Fis-147698,566
Fis-147731,2067
Fis-147788,1285
Fis-147792,640
Fis-147919,130
Fis-148253,131
Fis-148344,95
Fis-148345,52
Fis-148363,2158
Fis-148452,170
Fis-148460,95
Fis-148467,41
Fis-148569,223
Fis-148570,149
Fis-148575,174
Fis-148667,105
Fis-148816,771
Fis-148858,545
Fis-148861,542
Fis-148863,250
Fis-148881,164
Fis-148889,312
Fis-148900,15
Fis-148978,2203
Fis-148979,192
Fis-149105,93
Fis-149150,151
Fis-149190,125
Fis-149221,5
Fis-149229,196
Fis-149263,146
Fis-149273,72
Fis-149275,202
Fis-14939,483
Fis-149445,48
Fis-149460,1634
Fis-149461,1276
Fis-149472,2062
Fis-149478,1222
Fis-149504,173
Fis-149523,1306
Fis-149527,150
Fis-149558,195
Fis-149568,283
Fis-149572,1929
Fis-149603,178
Fis-149728,21
Fis-149739,82
Fis-14977,528
Fis-149783,245
Fis-149807,2
Fis-149817,63
Fis-149818,160
Fis-149838,65
Fis-149852,240
Fis-149947,104
Fis-150017,1
Fis-150070,119
Fis-150108,56
Fis-150167,1871
Fis-150169,176
Fis-150216,111
Fis-150239,208
Fis-150312,115
Fis-150314,133
Fis-150394,113
Fis-150446,1
Fis-150528,194
Fis-150531,32
Fis-150537,457
Fis-150557,182
Fis-150567,111
Fis-150581,1
Fis-150601,10
Fis-150636,161
Fis-150648,88
Fis-150705,3
Fis-150746,14
Fis-150762,6
Fis-151200,17
Fis-151279,28
Fis-151283,22
Fis-15136,290
Fis-151763,1
Fis-151821,1
Fis-152044,597
Fis-152091,9
Fis-15220,56
Fis-152317,2
Fis-152510,30
Fis-152512,338
Fis-153366,36
Fis-15353,25
Fis-153539,1341
Fis-153570,58
Fis-153859,70
Fis-154605,189
Fis-154652,185
Fis-155307,1
Fis-155578,113
Fis-155662,218
Fis-155663,189
Fis-156172,97
Fis-156241,131
Fis-156254,378
Fis-156259,194
Fis-156260,149
Fis-156281,195
Fis-156325,160
Fis-156400,1015
Fis-156530,158
Fis-156728,1
Fis-156898,1
Fis-158067,118
Fis-158070,175
Fis-15811,1421
Fis-158476,429
Fis-158911,12
Fis-158919,38
Fis-159076,317
Fis-159187,1
Fis-159545,5
Fis-159562,1
Fis-159655,127
Fis-159857,63
Fis-159936,66
Fis-160414,1041
Fis-160439,514
Fis-160940,1
Fis-160988,16
Fis-161020,586
Fis-161040,91
Fis-161400,296
Fis-161503,81
Fis-161573,1
Fis-161650,1
Fis-161725,1
Fis-161767,38
Fis-161966,335
Fis-162113,24
Fis-162200,176
