taxon_id,taxon_authority,n_ds,ms_merge,sp_cat,mdl_seq,scientific_name,common_name,worms_id,redlist_code,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,esa_code,esa_source,is_ok
272209,worms,1,NA,fish,9166,Sargocentron ensifer,Yellow-striped squirrelfish,272209,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
279155,worms,1,NA,fish,9167,Taeniopsetta radula,NA,279155,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
320012,worms,1,NA,fish,9168,Paracentropyge multifasciata,Barred angelfish,320012,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
315356,worms,1,NA,fish,9169,Protosciaena bathytatos,Deep-water drum,315356,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
275738,worms,1,NA,fish,9171,Haemulon steindachneri,Latin grunt,275738,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
218451,worms,1,NA,fish,9173,Gazza minuta,toothpony,218451,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
1770896,worms,1,NA,fish,9174,Nemanthias bicolor,Bicolor anthias,1770896,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
279170,worms,1,NA,fish,9175,Anampses elegans,Elegant wrasse,279170,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,TRUE
219612,worms,1,NA,fish,9176,Nemateleotris decora,elegant firefish,219612,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
280921,worms,1,NA,fish,9177,Goniistius vittatus,Hawaiian morwong,280921,NA,NA,1,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE
377443,worms,1,NA,invertebrate,9180,Gennadas sordidus,NA,377443,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE
220198,worms,1,NA,invertebrate,9181,Thaumastocaris streptopus,NA,220198,NA,NA,1,FALSE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE
