spcode
A007
A0A7
A0HK
A0IJ
B002
B003
B005
B006
B008
B009
B00A
B00C
B00D
B00F
B00G
B00H
B00L
B00N
B00Q
B00T
B00V
B00Y
B015
B01A
B02L
B03I
B03X
B043
B04A
B04B
B04C
B04F
B04G
B04J
B04O
B05R
B05S
B05T
B05X
B060
B061
B062
B063
B065
B067
B06O
B06Q
B06R
B06V
B06Y
B06Z
B079
B07C
B07O
B07V
B082
B08B
B08C
B08F
B08L
B08N
B08V
B08X
B08Z
B090
B091
B094
B098
B09A
B0AH
B0AK
B0AP
B0AS
B0B3
B0DM
B0DV
B0EF
B0FV
B0G4
B0GD
B0GO
B0GU
B0L8
B0MY
B0NI
B0OB
C00E
C00F
C00O
C00S
C00U
C00V
C02J
E00B
E00X
E04W
E071
E07L
E08C
E09Z
E0BC
E0BO
K037
K03A
K03B
K03C
