sci_ds,scientific_name_dataset,scientific_name_dataset_url,category,region,common_name,nmfs_esa,nmfs_esa_all,is_mmpa,scientific_name_accepted,worms_id,taxon_rank,is_marine,worms_id_url
Tursiops truncatus,Tursiops truncatus,https://www.fisheries.noaa.gov/species/common-bottlenose-dolphin,Dolphins & Porpoises,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Tursiops truncatus,137111,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137111
Rhinobatos rhinobatos,Rhinobatos rhinobatos,https://www.fisheries.noaa.gov/species/common-guitarfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Rhinobatos rhinobatos,105898,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105898
Pristipomoides filamentosus,Pristipomoides filamentosus,https://www.fisheries.noaa.gov/species/crimson-jobfish-opakapaka,Fish; Wild-Caught Seafood,; Pacific Islands,NA,LC,LC,FALSE,Pristipomoides filamentosus,218511,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=218511
Ziphius cavirostris,Ziphius cavirostris,https://www.fisheries.noaa.gov/species/cuviers-beaked-whale,Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Ziphius cavirostris,137127,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137127
Isogomphodon oxyrhynchus,Isogomphodon oxyrhynchus,https://www.fisheries.noaa.gov/species/daggernose-shark,Fish; Protected Fish; Sharks,; Foreign,NA,LC,LC,FALSE,Isogomphodon oxyrhynchus,281186,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=281186
Phocoenoides dalli,Phocoenoides dalli,https://www.fisheries.noaa.gov/species/dalls-porpoise,Dolphins & Porpoises,; AlaskaRegion; West Coast,NA,LC,LC,TRUE,Phocoenoides dalli,254987,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254987
Tridacna mbalavuana,Tridacna mbalavuana,https://www.fisheries.noaa.gov/species/devil-clam,"Invertebrates; Clams, Mussels, Oysters",; Foreign,NA,LC,LC,FALSE,Tridacna mbalavuana,466759,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=466759
Microstomus pacificus,Microstomus pacificus,https://www.fisheries.noaa.gov/species/dover-sole,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Microstomus pacificus,274294,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274294
Aipysurus fuscus,Aipysurus fuscus,https://www.fisheries.noaa.gov/species/dusky-sea-snake,Other,; Foreign,NA,LC,LC,FALSE,Aipysurus fuscus,344639,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=344639
Pristis clavata,Pristis clavata,https://www.fisheries.noaa.gov/species/dwarf-sawfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Pristis clavata,271422,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271422
Hippocampus zosterae,Hippocampus zosterae,https://www.fisheries.noaa.gov/species/dwarf-seahorse,Fish,; Southeast,NA,LC,LC,FALSE,Hippocampus zosterae,275213,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=275213
Kogia sima,Kogia sima,https://www.fisheries.noaa.gov/species/dwarf-sperm-whale,Whales,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Kogia sima,159025,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159025
Crassostrea virginica,Crassostrea virginica,https://www.fisheries.noaa.gov/species/eastern-oyster,"Invertebrates; Clams, Mussels, Oysters; Farmed Seafood",; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Crassostrea virginica,140657,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=140657
Acropora palmata,Acropora palmata,https://www.fisheries.noaa.gov/species/elkhorn-coral,Invertebrates; Corals,; Southeast,NA,TN,TN,FALSE,Acropora palmata,288227,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=288227
Parophrys vetulus,Parophrys vetulus,https://www.fisheries.noaa.gov/species/english-sole,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Parophrys vetulus,254393,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254393
Thaleichthys pacificus,Thaleichthys pacificus,https://www.fisheries.noaa.gov/species/eulachon,Fish; Protected Fish,; AlaskaRegion; West Coast,NA,TN,TN,FALSE,Thaleichthys pacificus,282959,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=282959
Acipenser sturio,Acipenser sturio,https://www.fisheries.noaa.gov/species/european-sturgeon,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Acipenser sturio,126279,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126279
Pseudorca crassidens,Pseudorca crassidens,https://www.fisheries.noaa.gov/species/false-killer-whale,Dolphins & Porpoises; Whales,; AlaskaRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,TRUE,Pseudorca crassidens,137104,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137104
Fimbriaphyllia paradivisa,Fimbriaphyllia paradivisa,https://www.fisheries.noaa.gov/species/fimbriaphyllia-paradivisa-coral,Invertebrates; Corals,; Pacific Islands,NA,TN,TN,FALSE,Fimbriaphyllia paradivisa,1048080,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1048080
Balaenoptera physalus,Balaenoptera physalus,https://www.fisheries.noaa.gov/species/fin-whale,Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,TRUE,Balaenoptera physalus,137091,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137091
Carcharhinus isodon,Carcharhinus isodon,https://www.fisheries.noaa.gov/species/finetooth-shark,Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Carcharhinus isodon,105791,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105791
Hippoglossoides elassodon,Hippoglossoides elassodon,https://www.fisheries.noaa.gov/species/flathead-sole,Fish; Wild-Caught Seafood,; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Hippoglossoides elassodon,274289,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=274289
Tridacna squamosa,Tridacna squamosa,https://www.fisheries.noaa.gov/species/fluted-giant-clam,"Invertebrates; Clams, Mussels, Oysters",; Pacific Islands,NA,LC,LC,FALSE,Tridacna squamosa,207674,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207674
Lagenodelphis hosei,Lagenodelphis hosei,https://www.fisheries.noaa.gov/species/frasers-dolphin,Dolphins & Porpoises,; Pacific IslandsRegion; Southeast,NA,LC,LC,TRUE,Lagenodelphis hosei,137099,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137099
Mycteroperca microlepis,Mycteroperca microlepis,https://www.fisheries.noaa.gov/species/gag-grouper,Fish; Wild-Caught Seafood,; Southeast,NA,LC,LC,FALSE,Mycteroperca microlepis,273880,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273880
Panopea generosa,Panopea generosa,https://www.fisheries.noaa.gov/species/geoduck,"Invertebrates; Clams, Mussels, Oysters; Farmed Seafood",; AlaskaRegion; West Coast,NA,LC,LC,FALSE,Panopea generosa,545994,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=545994
Mesoplodon europaeus,Mesoplodon europaeus,https://www.fisheries.noaa.gov/species/gervais-beaked-whale,Whales,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,TRUE,Mesoplodon europaeus,137123,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137123
Mobula birostris,Mobula birostris,https://www.fisheries.noaa.gov/species/giant-manta-ray,Fish; Protected Fish,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,TN,TN,FALSE,Mobula birostris,1026118,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1026118
Lopholatilus chamaeleonticeps,Lopholatilus chamaeleonticeps,https://www.fisheries.noaa.gov/species/golden-tilefish,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Lopholatilus chamaeleonticeps,159406,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159406
Halichoerus grypus,Halichoerus grypus,https://www.fisheries.noaa.gov/species/gray-seal,Seals & Sea Lions,; New England/Mid-Atlantic,NA,LC,LC,TRUE,Halichoerus grypus,137080,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137080
Balistes capriscus,Balistes capriscus,https://www.fisheries.noaa.gov/species/gray-triggerfish,Fish; Wild-Caught Seafood,; Southeast,NA,LC,LC,FALSE,Balistes capriscus,154721,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=154721
Eschrichtius robustus,Eschrichtius robustus,https://www.fisheries.noaa.gov/species/gray-whale,Whales,; AlaskaRegion; West Coast,NA,EN,EN,TRUE,Eschrichtius robustus,137112,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137112
Seriola dumerili,Seriola dumerili,https://www.fisheries.noaa.gov/species/greater-amberjack,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Seriola dumerili,126816,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126816
Haliotis fulgens,Haliotis fulgens,https://www.fisheries.noaa.gov/species/green-abalone,Invertebrates; Abalone,; West Coast,NA,LC,LC,FALSE,Haliotis fulgens,445325,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=445325
Pristis zijsron,Pristis zijsron,https://www.fisheries.noaa.gov/species/green-sawfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Pristis zijsron,217375,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217375
Acipenser medirostris,Acipenser medirostris,https://www.fisheries.noaa.gov/species/green-sturgeon,Fish; Protected Fish,; AlaskaRegion; West Coast,NA,TN,TN,FALSE,Sinosturio medirostris,1815696,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1815696
Chelonia mydas,Chelonia mydas,https://www.fisheries.noaa.gov/species/green-turtle,Sea Turtles,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,FALSE,Chelonia mydas,137206,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137206
Reinhardtius hippoglossoides,Reinhardtius hippoglossoides,https://www.fisheries.noaa.gov/species/greenland-turbot,Fish; Wild-Caught Seafood,; Alaska,NA,LC,LC,FALSE,Reinhardtius hippoglossoides,127144,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127144
Arctocephalus townsendi,Arctocephalus townsendi,https://www.fisheries.noaa.gov/species/guadalupe-fur-seal,Seals & Sea Lions,; AlaskaRegion; West Coast,NA,TN,TN,TRUE,Arctocephalus philippii townsendi,477319,Subspecies,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=477319
Mycteroperca jordani,Mycteroperca jordani,https://www.fisheries.noaa.gov/species/gulf-grouper,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Mycteroperca jordani,273879,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=273879
Acipenser oxyrinchus desotoi,Acipenser oxyrinchus desotoi,https://www.fisheries.noaa.gov/species/gulf-sturgeon,Fish; Protected Fish,; Southeast,NA,TN,TN,FALSE,Acipenser desotoi,1805509,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1805509
Melanogrammus aeglefinus,Melanogrammus aeglefinus,https://www.fisheries.noaa.gov/species/haddock,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Melanogrammus aeglefinus,126437,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=126437
Phocoena phocoena,Phocoena phocoena,https://www.fisheries.noaa.gov/species/harbor-porpoise,Dolphins & Porpoises,; AlaskaRegion; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Phocoena phocoena,137117,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137117
Phoca vitulina,Phoca vitulina,https://www.fisheries.noaa.gov/species/harbor-seal,Seals & Sea Lions,; AlaskaRegion; New England/Mid-AtlanticRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Phoca vitulina,137084,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137084
Pagophilus groenlandicus,Pagophilus groenlandicus,https://www.fisheries.noaa.gov/species/harp-seal,Seals & Sea Lions,; New England/Mid-Atlantic,NA,LC,LC,TRUE,Pagophilus groenlandicus,159019,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159019
Neomonachus schauinslandi,Neomonachus schauinslandi,https://www.fisheries.noaa.gov/species/hawaiian-monk-seal,Seals & Sea Lions,; Pacific Islands,NA,EN,EN,TRUE,Neomonachus schauinslandi,1663107,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1663107
Eretmochelys imbricata,Eretmochelys imbricata,https://www.fisheries.noaa.gov/species/hawksbill-turtle,Sea Turtles,; Pacific IslandsRegion; Southeast,NA,EN,EN,FALSE,Eretmochelys imbricata,137207,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137207
Cephalorhynchus hectori,Cephalorhynchus hectori,https://www.fisheries.noaa.gov/species/hectors-dolphin,Dolphins & Porpoises,; Foreign,NA,LC,LC,TRUE,Cephalorhynchus hectori,254979,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254979
Cystophora cristata,Cystophora cristata,https://www.fisheries.noaa.gov/species/hooded-seal,Seals & Sea Lions,; New England/Mid-Atlantic,NA,LC,LC,TRUE,Cystophora cristata,137078,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137078
Hippopus hippopus,Hippopus hippopus,https://www.fisheries.noaa.gov/species/horses-hoof-clam,"Invertebrates; Clams, Mussels, Oysters",; Pacific Islands,NA,LC,LC,FALSE,Hippopus hippopus,216411,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=216411
Megaptera novaeangliae,Megaptera novaeangliae,https://www.fisheries.noaa.gov/species/humpback-whale,Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,TRUE,Megaptera novaeangliae,137092,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137092
Platanista gangetica minor,Platanista gangetica minor,https://www.fisheries.noaa.gov/species/indus-river-dolphin,Dolphins & Porpoises,; Foreign,NA,LC,LC,TRUE,Platanista gangetica minor,254969,Subspecies,FALSE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254969
Mycteroperca fusca,Mycteroperca fusca,https://www.fisheries.noaa.gov/species/island-grouper,Fish; Protected Fish; Reef Fish,; Foreign,NA,LC,LC,FALSE,Mycteroperca fusca,127038,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127038
Isopora crateriformis,Isopora crateriformis,https://www.fisheries.noaa.gov/species/isopora-crateriformis-coral,Invertebrates; Corals,; Pacific Islands,NA,TN,TN,FALSE,Isopora crateriformis,730691,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=730691
Cancer borealis,Cancer borealis,https://www.fisheries.noaa.gov/species/jonah-crab,Invertebrates; Crab; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Cancer borealis,158056,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=158056
Huso dauricus,Huso dauricus,https://www.fisheries.noaa.gov/species/kaluga-sturgeon,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Sinosturio dauricus,1815695,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=1815695
Lepidochelys kempii,Lepidochelys kempii,https://www.fisheries.noaa.gov/species/kemps-ridley-turtle,Sea Turtles,; New England/Mid-AtlanticRegion; Southeast,NA,EN,EN,FALSE,Lepidochelys kempii,137208,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137208
Orcinus orca,Orcinus orca,https://www.fisheries.noaa.gov/species/killer-whale,Dolphins & Porpoises; Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,TRUE,Orcinus orca,137102,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137102
Scomberomorus cavalla,Scomberomorus cavalla,https://www.fisheries.noaa.gov/species/king-mackerel,Fish; Wild-Caught Seafood,; Southeast,NA,LC,LC,FALSE,Scomberomorus cavalla,159340,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159340
Pristis pristis,Pristis pristis,https://www.fisheries.noaa.gov/species/largetooth-sawfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Pristis pristis,105849,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105849
Dermochelys coriacea,Dermochelys coriacea,https://www.fisheries.noaa.gov/species/leatherback-turtle,Sea Turtles,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,FALSE,Dermochelys coriacea,137209,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137209
Ophiodon elongatus,Ophiodon elongatus,https://www.fisheries.noaa.gov/species/lingcod,Fish; Wild-Caught Seafood,; West Coast,NA,LC,LC,FALSE,Ophiodon elongatus,240745,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=240745
Orbicella annularis,Orbicella annularis,https://www.fisheries.noaa.gov/species/lobed-star-coral,Invertebrates; Corals,; Southeast,NA,TN,TN,FALSE,Orbicella annularis,758260,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=758260
Caretta caretta,Caretta caretta,https://www.fisheries.noaa.gov/species/loggerhead-turtle,Sea Turtles,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,FALSE,Caretta caretta,137205,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137205
Delphinus delphis,Delphinus capensis,https://www.fisheries.noaa.gov/species/long-beaked-common-dolphin,Dolphins & Porpoises,; West Coast; ; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Delphinus delphis,137094,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137094
Globicephala melas,Globicephala melas,https://www.fisheries.noaa.gov/species/long-finned-pilot-whale,Dolphins & Porpoises; Whales,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,TRUE,Globicephala melas,137097,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137097
Indopacetus pacificus,Indopacetus pacificus,https://www.fisheries.noaa.gov/species/longmans-beaked-whale,Whales,; Pacific Islands,NA,LC,LC,TRUE,Indopacetus pacificus,231418,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=231418
Etelis coruscans,Etelis coruscans,https://www.fisheries.noaa.gov/species/longtail-red-snapper-onaga,Fish; Wild-Caught Seafood,; Pacific Islands,NA,LC,LC,FALSE,Etelis coruscans,212544,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=212544
Monachus monachus,Monachus monachus,https://www.fisheries.noaa.gov/species/mediterranean-monk-seal,Seals & Sea Lions,; Foreign,NA,LC,LC,TRUE,Monachus monachus,137081,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137081
Peponocephala electra,Peponocephala electra,https://www.fisheries.noaa.gov/species/melon-headed-whale,Dolphins & Porpoises; Whales,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Peponocephala electra,137103,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137103
Balaenoptera acutorostrata,Balaenoptera acutorostrata,https://www.fisheries.noaa.gov/species/minke-whale,Whales,; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,TRUE,Balaenoptera acutorostrata,137087,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137087
Lophius americanus,Lophius americanus,https://www.fisheries.noaa.gov/species/monkfish,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Lophius americanus,159184,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159184
Montipora australiensis,Montipora australiensis,https://www.fisheries.noaa.gov/species/montipora-australiensis-coral,Invertebrates; Corals,; Foreign,NA,LC,LC,FALSE,Montipora australiensis,287693,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=287693
Orbicella faveolata,Orbicella faveolata,https://www.fisheries.noaa.gov/species/mountainous-star-coral,Invertebrates; Corals,; Southeast,NA,TN,TN,FALSE,Orbicella faveolata,758261,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=758261
Anoxypristis cuspidata,Anoxypristis cuspidata,https://www.fisheries.noaa.gov/species/narrow-sawfish,Fish; Protected Fish,; Foreign,NA,LC,LC,FALSE,Anoxypristis cuspidata,217374,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=217374
Mustelus schmitti,Mustelus schmitti,https://www.fisheries.noaa.gov/species/narrownose-smoothhound-shark,Fish; Protected Fish; Sharks,; Foreign,NA,LC,LC,FALSE,Mustelus schmitti,271393,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=271393
Monodon monoceros,Monodon monoceros,https://www.fisheries.noaa.gov/species/narwhal,Whales,; Alaska,NA,LC,LC,TRUE,Monodon monoceros,137116,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137116
Epinephelus striatus,Epinephelus striatus,https://www.fisheries.noaa.gov/species/nassau-grouper,Fish; Protected Fish; Reef Fish,; Southeast,NA,TN,TN,FALSE,Epinephelus striatus,159222,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159222
Tridacna noae,Tridacna noae,https://www.fisheries.noaa.gov/species/noahs-giant-clam,"Invertebrates; Clams, Mussels, Oysters",; Pacific Islands,NA,LC,LC,FALSE,Tridacna noae,207671,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=207671
Thunnus alalunga,Thunnus alalunga,https://www.fisheries.noaa.gov/species/north-atlantic-albacore-tuna,Fish; Highly Migratory Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Thunnus alalunga,127026,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127026
Eubalaena glacialis,Eubalaena glacialis,https://www.fisheries.noaa.gov/species/north-atlantic-right-whale,Whales,; New England/Mid-AtlanticRegion; Southeast,NA,EN,EN,TRUE,Eubalaena glacialis,159023,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159023
Xiphias gladius,Xiphias gladius,https://www.fisheries.noaa.gov/species/north-atlantic-swordfish,Fish; Highly Migratory Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Southeast; ; Pacific IslandsRegion; West Coast,NA,LC,LC,FALSE,Xiphias gladius,127094,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=127094
Eubalaena japonica,Eubalaena japonica,https://www.fisheries.noaa.gov/species/north-pacific-right-whale,Whales,; AlaskaRegion; West Coast,NA,EN,EN,TRUE,Eubalaena japonica,254974,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254974
Engraulis mordax,Engraulis mordax,https://www.fisheries.noaa.gov/species/northern-anchovy,Fish; Wild-Caught Seafood,; West Coast,NA,LC,LC,FALSE,Engraulis mordax,272286,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=272286
Hyperoodon ampullatus,Hyperoodon ampullatus,https://www.fisheries.noaa.gov/species/northern-bottlenose-whale,Whales,; New England/Mid-Atlantic,NA,LC,LC,TRUE,Hyperoodon ampullatus,343899,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=343899
Mirounga angustirostris,Mirounga angustirostris,https://www.fisheries.noaa.gov/species/northern-elephant-seal,Seals & Sea Lions,; AlaskaRegion; West Coast,NA,LC,LC,TRUE,Mirounga angustirostris,255018,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=255018
Callorhinus ursinus,Callorhinus ursinus,https://www.fisheries.noaa.gov/species/northern-fur-seal,Seals & Sea Lions,; AlaskaRegion; West Coast,NA,LC,LC,TRUE,Callorhinus ursinus,254997,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254997
Mercenaria mercenaria,Mercenaria mercenaria,https://www.fisheries.noaa.gov/species/northern-quahog,"Invertebrates; Clams, Mussels, Oysters; Farmed Seafood",; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Mercenaria mercenaria,141919,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=141919
Lissodelphis borealis,Lissodelphis borealis,https://www.fisheries.noaa.gov/species/northern-right-whale-dolphin,Dolphins & Porpoises,; West Coast,NA,LC,LC,TRUE,Lissodelphis borealis,254975,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=254975
Zoarces americanus,Zoarces americanus,https://www.fisheries.noaa.gov/species/ocean-pout,Fish; Groundfish; Wild-Caught Seafood,; New England/Mid-Atlantic,NA,LC,LC,FALSE,Zoarces americanus,159267,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=159267
Arctica islandica,Arctica islandica,https://www.fisheries.noaa.gov/species/ocean-quahog,"Invertebrates; Clams, Mussels, Oysters; Wild-Caught Seafood",; New England/Mid-AtlanticRegion; Southeast,NA,LC,LC,FALSE,Arctica islandica,138802,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=138802
Carcharhinus longimanus,Carcharhinus longimanus,https://www.fisheries.noaa.gov/species/oceanic-whitetip-shark,Fish; Highly Migratory Fish; Protected Fish; Sharks,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,TN,TN,FALSE,Carcharhinus longimanus,105794,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=105794
Lepidochelys olivacea,Lepidochelys olivacea,https://www.fisheries.noaa.gov/species/olive-ridley-turtle,Sea Turtles,; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,EN,EN,FALSE,Lepidochelys olivacea,220293,Species,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=220293
Lampris,"Lampris guttatus, Lampris spp.",https://www.fisheries.noaa.gov/species/opah,Fish; Wild-Caught Seafood,; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast,NA,LC,LC,FALSE,Lampris,125783,Genus,TRUE,https://www.marinespecies.org/aphia.php?p=taxdetails&id=125783
