is_ok,component,common_name,scientific_name,redlist_code_max,extrisk_code,er_score,is_mmpa,is_mbta,is_bcc,worms_is_marine,worms_is_extinct,n_datasets,taxon_authority,taxon_id,model_id
TRUE,bird,Brown Noddy,Anous stolidus,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22694794,18129
TRUE,bird,Brown Pelican,Pelecanus occidentalis,LC,FWS:LC,10,FALSE,TRUE,FALSE,TRUE,NA,3,botw,22733989,NA
TRUE,bird,Buff-bellied Pipit,Anthus rubescens,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,22718575,17594
TRUE,bird,Bufflehead,Bucephala albeola,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22680462,17633
TRUE,bird,Buller's Shearwater,Ardenna bulleri,VU,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22698182,17607
TRUE,bird,California Condor,Gymnogyps californianus,EN,IUCN:EN,25,FALSE,FALSE,FALSE,NA,NA,1,botw,22697636,18368
TRUE,bird,California Gnatcatcher,Polioptila californica,TN,IUCN:TN,1,FALSE,FALSE,FALSE,NA,NA,3,botw,22711585,NA
TRUE,bird,California Gull,Larus californicus,LC,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694321,17811
TRUE,bird,Canvasback,Aythya valisineria,LC,IUCN:LC,1,FALSE,FALSE,FALSE,TRUE,NA,1,botw,22680364,17622
TRUE,bird,Cape Verde Storm-petrel,Hydrobates jabejabe,LC,IUCN:LC,1,FALSE,FALSE,FALSE,NA,NA,1,botw,132434704,18261
TRUE,bird,Cassin's Auklet,Ptychoramphus aleuticus,NT,FWS:LC,10,FALSE,TRUE,TRUE,TRUE,NA,1,botw,22694903,17969
TRUE,bird,Chuck-will's-widow,Antrostomus carolinensis,NT,IUCN:NT,2,FALSE,FALSE,FALSE,NA,NA,1,botw,22689778,17595
