taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
282395,Psammoperca waigiensis,fish,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
126707,Photostylus pycnopterus,fish,ok,217549,178576,15415,85.143,58.414,0.218,74.742,58.477,-26.728,0.529,-35.788,-4.659,NA,64.877,8.987,161293,40706,0,136,15414
398495,Pictichromis porphyrea,fish,ok,3075,12973,8947,20.991,13.607,0.038,17.391,10.123,-7.385,0.123,-7.385,NA,NA,NA,NA,3075,NA,NA,NA,NA
278438,Pleurosicya coerulea,fish,ok,3055,13899,7876,30.772,15.212,0.251,24.361,8.916,-15.559,0.123,-15.559,NA,NA,NA,NA,3055,NA,NA,NA,NA
218265,Plectropomus pessuliferus,fish,ok,0,7840,0,NA,NA,NA,26.465,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
277132,Pomacentrus amboinensis,fish,ok,2304,14687,4531,19.994,13.134,0.166,19.959,7.949,-6.86,0.107,-6.86,NA,NA,NA,NA,2304,NA,NA,NA,NA
276279,Prionotus beanii,fish,ok,18267,5217,18202,20.192,45.021,0.246,18.01,34.372,24.829,0.438,NA,16.476,NA,21.501,30.221,NA,6683,NA,762,10822
218567,Pomadasys guoraca,fish,absent_in_mask,0,3642,0,NA,NA,NA,12.291,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
159846,Pholis fasciata,fish,ok,105014,5608,70280,58.095,67.821,0.641,56.842,52.409,9.726,0.581,NA,NA,8.03,39.826,NA,0,0,99412,5602,NA
126377,Platybelone argalus,fish,ok,19265,342,27878,43.14,60.897,0.236,43.109,61.342,17.756,0.406,NA,19.557,NA,1.07,19.983,NA,8537,NA,2076,8652
212853,Plectroglyphidodon phoenixensis,fish,ok,15399,1508,40376,33.34,24.515,0.377,32.787,10.698,-8.825,0.269,-8.825,NA,NA,NA,NA,15399,NA,NA,NA,NA
126441,Pollachius virens,fish,ok,13179,61,3922,59.815,73.77,0.647,59.743,60.545,13.955,0.768,NA,11.709,NA,39.477,NA,NA,12113,NA,1066,NA
158561,Polyacanthonotus merretti,fish,ok,32442,182,30791,53.629,59.893,0.492,53.495,42.664,6.264,0.512,NA,0.018,NA,-7.795,15.796,NA,19037,NA,376,13029
274989,Polyipnus matsubarai,fish,ok,7895,23277,96431,22.058,45.153,0.449,20.36,23.202,23.095,0.062,23.095,NA,NA,NA,NA,7895,NA,0,0,NA
275658,Porichthys notatus,fish,ok,11989,312,20406,63.381,70.434,0.333,62.828,34.519,7.053,0.367,20.251,NA,-33.053,-9.772,NA,8440,NA,2220,1329,NA
218558,Pomadasys furcatus,fish,absent_in_mask,0,5110,0,NA,NA,NA,17.229,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
1021147,Pristigenys refulgens,fish,ok,2133,4145,6457,35.728,55.028,0.228,29.662,41.94,19.301,0.167,19.301,NA,NA,NA,NA,2133,NA,NA,NA,NA
219740,Psenopsis obscura,fish,absent_in_mask,0,8358,0,NA,NA,NA,15.003,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
276820,Plesiops polydactylus,fish,ok,1129,15718,4329,24.941,18.872,0.043,29.604,15.548,-6.069,0.053,-6.069,NA,NA,NA,NA,1129,NA,NA,NA,NA
282289,Pleurogrammus monopterygius,fish,ok,84620,452,145759,56.623,67.877,0.721,56.605,36.461,11.254,0.367,26.392,NA,10.175,5.414,NA,6868,NA,73528,4224,NA
219545,Pleurosicya fringilla,fish,ok,3545,15327,16187,31.869,19.343,0.284,31.265,8.34,-12.526,0.101,-12.526,NA,NA,NA,NA,3545,NA,NA,NA,NA
277130,Pomacentrus alexanderae,fish,ok,1592,1009,6486,6.121,16.309,0.054,11.105,12.856,10.188,0.175,10.188,NA,NA,NA,NA,1592,NA,NA,NA,NA
158784,Porichthys plectrodon,fish,ok,26290,1225,12255,72.433,78.829,0.607,70.026,60.674,6.397,0.661,NA,-5.896,NA,14.586,14.971,NA,10762,NA,2208,13320
276291,Prionotus stephanophrys,fish,ok,2505,1858,1387,45.964,55.92,0.333,28.758,41.591,9.956,0.436,9.246,NA,NA,28.189,NA,2411,NA,NA,94,NA
218507,Pristipomoides typus,fish,absent_in_mask,0,3134,0,NA,NA,NA,6.969,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
1605254,Plectroglyphidodon obreptus,fish,absent_in_mask,0,682,0,NA,NA,NA,28.284,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
159854,Polydactylus virginicus,fish,ok,15063,10372,7415,49.48,39.008,0.323,56.483,35.515,-10.472,0.459,NA,-13.26,NA,2.917,18.582,NA,13173,NA,1161,729
