taxon_id,scientific_name,sp_cat,ax_status,n_shared,n_am_only,n_ax_only,mean_am,mean_ax,cor,mean_am_all,mean_ax_all,delta,jaccard,delta_PA,delta_AT,delta_AK,delta_other,delta_GA,n_shared_PA,n_shared_AT,n_shared_AK,n_shared_other,n_shared_GA
286936,Balanophyllia (Balanophyllia) palifera,coral,ok,34784,5113,26375,55.244,62.074,0.463,54.742,45.36,6.83,0.525,NA,5.976,NA,38.465,5.292,NA,18853,NA,1224,14707
730686,Isopora palifera,coral,ok,3258,4133,7921,25.585,26.726,0.249,20.865,14.277,1.142,0.213,1.142,NA,NA,NA,NA,3258,NA,NA,NA,NA
207023,Acropora millepora,coral,ok,3289,1775,11536,28.423,10.456,0.252,26.403,5.301,-17.967,0.198,-17.967,NA,NA,NA,NA,3289,NA,NA,NA,NA
207198,Alveopora spongiosa,coral,ok,3952,1465,27020,28.283,60.06,0.138,24.308,42.35,31.777,0.122,31.777,NA,NA,NA,NA,3952,NA,NA,NA,NA
289691,Colangia immersa,coral,ok,26468,14615,6308,55.982,47.777,0.463,59.467,46.219,-8.205,0.559,NA,-0.75,NA,3.989,-33.977,NA,18417,NA,1849,6202
207350,Fungia fungites,coral,ok,3906,13193,8009,20.163,25.538,0.272,21.977,12.627,5.375,0.156,5.375,NA,NA,NA,NA,3906,NA,NA,NA,NA
1469809,Duncanopsammia peltata,coral,ok,20,4439,962,49.2,9.675,0.292,16.363,6.063,-39.525,0.004,-39.525,NA,NA,NA,NA,20,NA,NA,NA,NA
207291,Leptoseris hawaiiensis,coral,ok,11782,8105,19630,32.16,22.803,0.403,27.761,11.041,-9.357,0.298,-9.357,NA,NA,NA,NA,11782,NA,NA,0,NA
207392,Lobophyllia hemprichii,coral,ok,2838,15443,3415,24.926,12.242,0.183,24.319,7.401,-12.684,0.131,-12.684,NA,NA,NA,NA,2838,NA,NA,NA,NA
207032,Acropora yongei,coral,ok,0,3967,161,NA,NA,NA,13.066,15.675,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
716552,Cycloseris sinensis,coral,ok,2250,2520,63973,16.092,50.947,-0.156,17.193,35.028,34.855,0.033,34.855,NA,NA,NA,NA,2250,NA,NA,NA,NA
289919,Erythropodium caribaeorum,coral,ok,15500,11312,8934,39.962,46.902,0.462,41.102,45.696,6.94,0.434,NA,10.525,NA,0.981,-1.385,NA,10490,NA,1735,3275
716444,Cycloseris curvata,coral,absent_in_mask,0,2457,0,NA,NA,NA,10.597,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207445,Favites rotundata,coral,ok,67,1664,3322,3.447,31.467,0.319,5.053,11.244,28.02,0.013,28.02,NA,NA,NA,NA,67,NA,NA,NA,NA
730687,Isopora cuneata,coral,ok,3014,4778,15378,27.891,16.621,0.25,22.37,6.53,-11.27,0.13,-11.27,NA,NA,NA,NA,3014,NA,NA,NA,NA
288027,Goniastrea minuta,coral,ok,0,1775,4451,NA,NA,NA,3.913,20.947,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
287912,Agaricia fragilis,coral,ok,10582,12309,1619,72.441,74.53,0.481,58.322,69.731,2.089,0.432,NA,-11.051,NA,-2.491,7.902,NA,2863,NA,698,7021
1487798,Astraeosmilia maxima,coral,ok,1506,1,15605,3.409,68.162,0.171,3.408,42.801,64.753,0.088,64.753,NA,NA,NA,NA,1506,NA,NA,NA,NA
288198,Acropora donei,coral,ok,0,4193,5339,NA,NA,NA,17.894,11.555,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
283836,Corynactis californica,coral,ok,8396,12547,3936,52.151,68.932,0.283,34.419,57.776,16.781,0.337,17.767,NA,14.249,16.192,NA,5298,NA,1751,1347,NA
207325,Cycloseris costulata,coral,ok,3272,1067,19712,29.332,60.287,0.094,28.04,37.738,30.955,0.136,30.955,NA,NA,NA,NA,3272,NA,NA,NA,NA
207328,Cycloseris somervillei,coral,ok,3244,377,13867,23.255,59.04,0.102,22.275,44.636,35.784,0.185,35.784,NA,NA,NA,NA,3244,NA,NA,NA,NA
103326,Leiopathes glaberrima,coral,ok,46620,40043,43438,50.308,71.783,0.37,36.116,56.523,21.475,0.358,NA,18.846,NA,54.69,21.547,0,26933,0,2093,17594
286785,Coenocyathus parvulus,coral,ok,29328,4269,33786,50.183,66.67,0.458,46.045,52.087,16.487,0.435,NA,13.769,NA,31.158,19.275,NA,16623,NA,820,11885
286791,Deltocyathus calcar,coral,ok,25569,11346,12935,54.409,74.225,0.542,45.519,66.287,19.816,0.513,NA,10.495,NA,15.493,28.078,NA,11316,NA,976,13277
287937,Coscinaraea crassa,coral,absent_in_mask,0,1623,0,NA,NA,NA,3.412,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
210725,Heliopora coerulea,coral,ok,4208,9821,14848,24.581,26.662,0.277,25.923,13.045,2.081,0.146,2.081,NA,NA,NA,NA,4208,NA,NA,NA,NA
287037,Javania lamprotichum,coral,ok,29310,12801,128210,37.445,26.038,0.507,31.545,15.818,-11.407,0.172,-11.407,NA,NA,NA,NA,29310,NA,0,0,NA
207100,Acropora nana,coral,ok,2569,942,8738,17.255,9.646,0.14,15.345,5.015,-7.61,0.21,-7.61,NA,NA,NA,NA,2569,NA,NA,NA,NA
216132,Ctenactis echinata,coral,ok,2173,3453,5764,18.537,13.43,0.139,14.194,5.828,-5.107,0.191,-5.107,NA,NA,NA,NA,2173,NA,NA,NA,NA
288195,Acropora dendrum,coral,ok,0,3511,5604,NA,NA,NA,15.676,16.895,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207288,Leptoseris tubulifera,coral,ok,13909,4041,43888,28.728,49.04,0.256,28.104,34.928,20.312,0.225,20.312,NA,NA,NA,NA,13909,NA,NA,NA,NA
207045,Acropora digitifera,coral,ok,5318,11281,16555,26.97,20.125,0.226,27.093,10.239,-6.845,0.16,-6.845,NA,NA,NA,NA,5318,NA,NA,NA,NA
207031,Acropora grandis,coral,ok,2954,4679,15763,19.79,6.734,0.045,14.864,4.456,-13.055,0.126,-13.055,NA,NA,NA,NA,2954,NA,NA,NA,NA
207362,Heliofungia actiniformis,coral,absent_in_mask,0,5049,0,NA,NA,NA,14.726,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
288233,Acropora plumosa,coral,absent_in_mask,0,2583,0,NA,NA,NA,7.97,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207413,Cyphastrea serailia,coral,ok,4459,14270,14518,25.167,14.285,0.224,26.843,7.404,-10.882,0.134,-10.882,NA,NA,NA,NA,4459,NA,NA,NA,NA
286912,Balanophyllia (Balanophyllia) crassitheca,coral,ok,0,8972,4286,NA,NA,NA,16.413,15.104,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207461,Goniastrea retiformis,coral,ok,3085,2254,15591,29.701,16.222,0.203,24.402,8.077,-13.479,0.147,-13.479,NA,NA,NA,NA,3085,NA,NA,NA,NA
207403,Hydnophora exesa,coral,ok,2170,2932,9433,22.26,17.43,0.15,17.673,7.28,-4.829,0.149,-4.829,NA,NA,NA,NA,2170,NA,NA,NA,NA
100839,Actinostola callosa,coral,ok,15989,707,16146,42.983,48.886,0.597,41.427,37.731,5.903,0.487,NA,4.533,NA,21.573,NA,NA,14704,NA,1285,NA
286340,Bebryce cinerea,coral,ok,21842,1748,12074,53.156,66.451,0.262,51.729,55.585,13.294,0.612,NA,6.289,NA,37.865,16.511,NA,8619,NA,836,12387
283422,Cribrinopsis fernaldi,coral,ok,22505,387,96756,56.871,66.108,0.544,56.697,43.851,9.236,0.188,32.652,NA,1.663,-0.686,NA,5678,NA,14481,2346,NA
287628,Ctenocella pectinata,coral,absent_in_mask,0,682,0,NA,NA,NA,29.31,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
283254,Eunicea mammosa,coral,ok,10098,6211,40191,42.497,58.856,0.28,35.27,38.691,16.359,0.179,NA,9.962,NA,-2.855,33.787,NA,5978,NA,916,3204
287822,Leptastrea bewickensis,coral,ok,14237,4777,46380,37.042,50.294,0.39,35.414,34.68,13.252,0.218,13.252,NA,NA,NA,NA,14237,NA,NA,NA,NA
207083,Acropora abrotanoides,coral,ok,5887,11266,24690,30.527,17.851,0.24,31.224,9.449,-12.676,0.141,-12.676,NA,NA,NA,NA,5887,NA,NA,0,NA
207017,Acropora glauca,coral,ok,794,15982,4683,5.266,8.56,0.266,16.878,4.539,3.294,0.037,3.294,NA,NA,NA,NA,794,NA,NA,NA,NA
207015,Acropora pulchra,coral,ok,2548,15286,10027,20.621,11.552,0.219,27.018,7.106,-9.069,0.091,-9.069,NA,NA,NA,NA,2548,NA,NA,NA,NA
289357,Adelogorgia phyllosclera,coral,ok,8411,11342,18224,46.072,60.125,0.371,51.084,34.029,14.054,0.221,12.654,NA,59.154,21.611,NA,7993,0,214,204,NA
708859,Antillogorgia americana,coral,ok,5173,13524,6363,57.827,72.974,0.201,40.584,63.132,15.147,0.206,NA,3.538,NA,7.276,44.556,NA,3140,NA,626,1407
286923,Balanophyllia (Balanophyllia) floridana,coral,ok,25430,14674,6300,72.949,62.489,0.613,58.714,53.868,-10.46,0.548,NA,-13.506,NA,-20.187,-6.988,NA,9674,NA,1911,13845
418865,Dendrogyra cylindrus,coral,ok,6803,3138,3963,61.146,52.57,0.403,45.853,41.653,-8.576,0.489,NA,-24.585,NA,19.083,6.948,NA,3475,NA,327,3001
286983,Eguchipsammia fistula,coral,ok,32239,28079,125281,36.671,21.702,0.549,30.635,11.587,-14.97,0.174,-14.97,NA,NA,NA,NA,32239,NA,0,0,NA
288275,Goniopora pandoraensis,coral,ok,2921,2482,10992,29.541,57.299,0.105,24.891,43.36,27.758,0.178,27.758,NA,NA,NA,NA,2921,NA,NA,NA,NA
290178,Iciligorgia schrammi,coral,ok,31598,9298,21346,57.081,50.614,0.233,52.677,41.036,-6.467,0.508,NA,2.887,NA,-14.346,-19.974,NA,18306,NA,1477,11815
207501,Heteropsammia cochlea,coral,absent_in_mask,0,3568,0,NA,NA,NA,18.643,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
286234,Leptogorgia euryale,coral,ok,19537,17218,7464,73.639,65.466,0.754,65.242,49.426,-8.174,0.442,NA,-20.007,NA,-4.166,-0.297,NA,7484,NA,1648,10405
206991,Acropora aculeus,coral,ok,3886,4790,13429,21.287,12.101,0.147,17.834,5.906,-9.186,0.176,-9.186,NA,NA,NA,NA,3886,NA,NA,NA,NA
286778,Cladocora arbuscula,coral,ok,7911,5948,3358,65.506,68.877,0.355,54.11,61.418,3.371,0.459,NA,-25.811,NA,2.899,24.709,NA,3034,NA,712,4165
288206,Acropora halmaherae,coral,absent_in_mask,0,3740,0,NA,NA,NA,11.577,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
758233,Dipsastraea pallida,coral,ok,4787,13803,18508,27.335,12.184,0.202,26.807,6.629,-15.152,0.129,-15.152,NA,NA,NA,NA,4787,NA,NA,NA,NA
886931,Homophyllia bowerbanki,coral,ok,3068,589,10623,30.002,11.603,0.217,28.295,6.845,-18.4,0.215,-18.4,NA,NA,NA,NA,3068,NA,NA,NA,NA
283377,Anthopleura xanthogrammica,coral,ok,13256,3946,18729,48.269,65.523,0.437,40.003,42.128,17.254,0.369,10.783,NA,20.895,22.298,NA,5106,NA,5752,2398,NA
283901,Antipathes gracilis,coral,ok,24607,12886,8885,69.615,80.518,0.458,56.923,68.166,10.903,0.531,NA,2.886,NA,12.465,16.525,NA,9587,NA,1866,13154
395098,Carijoa riisei,coral,ok,39466,58930,11914,46.353,69.156,0.535,30.676,62.624,22.803,0.358,5.011,5.39,45.972,26.407,23.522,5186,9093,9872,3764,11551
207446,Favites pentagona,coral,ok,2027,1521,5843,20.571,10.709,0.135,17.598,6.016,-9.861,0.216,-9.861,NA,NA,NA,NA,2027,NA,NA,NA,NA
135185,Dendrophyllia cornigera,coral,absent_in_mask,0,1998,0,NA,NA,NA,9.827,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
716610,Lithophyllon spinifer,coral,ok,2307,5,14769,6.298,63.902,0.027,6.297,45.309,57.603,0.135,57.603,NA,NA,NA,NA,2307,NA,NA,NA,NA
766904,Acanthastrea rotundoflora,coral,ok,3203,365,13712,18.903,61.066,0.171,18.05,40.133,42.163,0.185,42.163,NA,NA,NA,NA,3203,NA,NA,NA,NA
207024,Acropora anthocercis,coral,ok,770,13296,1893,4.895,11,0.277,18.695,5.966,6.105,0.048,6.105,NA,NA,NA,NA,770,NA,NA,NA,NA
100862,Alicia mirabilis,coral,ok,11198,28459,4477,75.08,45.353,0.674,58.789,36.454,-29.727,0.254,NA,-37.055,NA,-38.199,-22.632,NA,4833,NA,626,5739
207618,Catalaphyllia jardinei,coral,absent_in_mask,0,2791,0,NA,NA,NA,8.883,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207283,Leptoseris mycetoseroides,coral,ok,10325,10227,18015,38.463,28.848,0.412,30.449,13.664,-9.616,0.268,-9.616,NA,NA,NA,NA,10325,NA,NA,0,NA
288026,Goniastrea favulus,coral,ok,22,5154,2535,42.932,6.941,0.501,18.221,6.631,-35.991,0.003,-35.991,NA,NA,NA,NA,22,NA,NA,NA,NA
730691,Isopora crateriformis,coral,ok,0,3195,4276,NA,NA,NA,19.188,17.613,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
206989,Acropora cervicornis,coral,ok,4488,2780,1139,57.772,61.004,0.307,42.565,55.445,3.233,0.534,NA,2.696,NA,2.833,5.398,NA,3264,NA,351,873
288263,Acropora verweyi,coral,ok,4973,15049,16362,29.625,18.44,0.277,31.483,9.637,-11.185,0.137,-11.185,NA,NA,NA,NA,4973,NA,NA,NA,NA
288925,Boloceroides mcmurrichi,coral,ok,8798,17654,11874,33.128,17.914,0.549,24.497,10.871,-15.214,0.23,-15.214,NA,NA,NA,NA,8798,NA,NA,0,NA
135157,Deltocyathus moseleyi,coral,ok,29869,4100,33893,54.293,55.347,0.645,54.893,40.909,1.054,0.44,NA,2.018,NA,53.158,-2.357,NA,18934,NA,343,10592
520681,Dichotella gemmacea,coral,ok,6062,30040,1200,30.707,5.214,-0.069,18.468,5.238,-25.492,0.163,-25.492,NA,NA,NA,NA,6062,NA,NA,NA,NA
289577,Caulastraea furcata,coral,ok,0,6439,4547,NA,NA,NA,17.559,7.484,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
290166,Hypnogorgia pendula,coral,ok,28176,4145,10848,52.114,51.983,0.27,48.726,46.9,-0.131,0.653,NA,-11.384,NA,-2.744,16.32,NA,15602,NA,1641,10933
101036,Epizoanthus paguriphilus,coral,ok,25415,97,80218,33.799,67.599,0.424,33.695,33.562,33.8,0.24,NA,21.489,NA,23.887,56.809,0,16533,NA,25,8857
207279,Leptoseris incrustans,coral,ok,15494,3341,38960,32.683,33.89,0.468,31.951,15.829,1.206,0.268,1.206,NA,NA,NA,NA,15494,NA,NA,NA,NA
216146,Heterocyathus aequicostatus,coral,absent_in_mask,0,3485,0,NA,NA,NA,15.09,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
287105,Madracis brueggemanni,coral,ok,22573,11969,11680,57.187,65.937,0.319,47.78,58.858,8.75,0.488,NA,-3.153,NA,3.905,17.698,NA,8812,NA,1323,12438
207052,Acropora austera,coral,ok,1446,16430,5027,16.063,12.196,0.092,27.02,5.857,-3.867,0.063,-3.867,NA,NA,NA,NA,1446,NA,NA,NA,NA
207093,Acropora granulosa,coral,ok,5072,13819,16304,28.764,15.896,0.211,25.691,8.501,-12.868,0.144,-12.868,NA,NA,NA,NA,5072,NA,NA,NA,NA
207009,Acropora nasuta,coral,ok,14095,3030,45911,33.46,22.999,0.363,31.261,10.687,-10.462,0.224,-10.462,NA,NA,NA,NA,14095,NA,NA,NA,NA
289532,Bourneotrochus stellulatus,coral,ok,17398,18342,15250,38.971,20.449,0.338,30.533,13.566,-18.522,0.341,-18.522,NA,NA,NA,NA,17398,NA,0,0,NA
1048076,Fimbriaphyllia paraancora,coral,ok,1643,5,14392,2.628,68.028,-0.013,2.627,48.552,65.4,0.102,65.4,NA,NA,NA,NA,1643,NA,NA,NA,NA
125375,Keratoisis flexibilis,coral,ok,15403,2576,17359,36.912,71.582,0.222,36.272,55.508,34.669,0.436,NA,29.049,NA,13.68,40.731,NA,7332,NA,285,7786
207278,Leptoseris papyracea,coral,ok,15584,9698,33220,34.465,22.349,0.539,32.388,12.646,-12.116,0.266,-12.116,NA,NA,NA,NA,15584,NA,NA,NA,NA
888126,Lobophyllia vitiensis,coral,ok,1764,17272,5824,18.966,13.199,0.291,32.55,5.753,-5.767,0.071,-5.767,NA,NA,NA,NA,1764,NA,NA,NA,NA
125371,Acanella arbuscula,coral,ok,35874,615,28074,56.207,53.468,0.696,55.595,40.446,-2.739,0.556,NA,1.482,NA,11.57,-8.515,NA,20180,NA,272,15422
207058,Acropora florida,coral,ok,2774,2236,15028,18.687,15.518,0.122,16.257,6.422,-3.169,0.138,-3.169,NA,NA,NA,NA,2774,NA,NA,NA,NA
740834,Acropora lovelli,coral,ok,1394,1396,5174,28.843,66.271,0.009,28.48,50.708,37.428,0.175,37.428,NA,NA,NA,NA,1394,NA,NA,NA,NA
135139,Caryophyllia (Caryophyllia) diomedeae,coral,ok,79507,6128,263717,26.198,38.993,0.432,26.477,26.511,12.794,0.228,9.469,NA,17.96,35.267,NA,48525,0,30908,74,0
289705,Conotrochus brunneus,coral,ok,13382,10450,68262,23.083,12.577,0.445,19.271,9.163,-10.507,0.145,-10.507,NA,NA,NA,NA,13382,NA,0,0,NA
288872,Diodogorgia nodulifera,coral,ok,23866,15074,6320,67.231,69.548,0.487,53.944,59.988,2.318,0.527,NA,-0.78,NA,-2.255,4.884,NA,8681,NA,1693,13492
290083,Helioseris cucullata,coral,ok,6590,17835,1189,67.714,58.384,0.448,46.893,53.511,-9.331,0.257,NA,-11.371,NA,-24.78,-5.88,NA,2713,NA,415,3462
430664,Madracis auretenra,coral,ok,8548,9555,5315,48.27,70.362,0.457,33.91,60.925,22.091,0.365,NA,22.641,NA,20.631,21.708,NA,4084,NA,496,3968
157967,Astrangia poculata,coral,ok,10928,2344,20182,74.809,64.71,0.362,68.616,50.96,-10.099,0.327,NA,-13.024,NA,28.168,NA,NA,10152,NA,776,0
286780,Coenocyathus bowersi,coral,ok,8262,14236,1954,42.045,67.931,0.473,26.16,62.049,25.886,0.338,25.737,NA,28.152,23.958,NA,6534,NA,1027,701,NA
289826,Diploria labyrinthiformis,coral,ok,5975,9001,3866,59.05,48.566,0.166,34.397,41.985,-10.484,0.317,NA,-2.993,NA,-16.437,-21.764,NA,3460,NA,460,2055
286800,Deltocyathus ornatus,coral,ok,0,7915,2018,NA,NA,NA,28.275,10.643,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
287913,Agaricia grahamae,coral,ok,1444,991,10081,66.913,43.836,0.333,52.835,39.832,-23.076,0.115,NA,-23.076,NA,NA,NA,NA,1444,NA,0,0
207212,Goniopora somaliensis,coral,ok,1454,3797,6995,32.743,19.894,0.3,24.457,7.694,-12.849,0.119,-12.849,NA,NA,NA,NA,1454,NA,NA,NA,NA
207476,Leptastrea bottae,coral,ok,5379,13419,25481,24.932,57.125,0.123,25.951,40.826,32.193,0.121,32.193,NA,NA,NA,NA,5379,NA,NA,NA,NA
158288,Leptogorgia virgulata,coral,ok,29509,4708,3891,59.848,64.138,0.594,54.691,58.509,4.291,0.774,NA,-10.24,NA,31.147,16.14,NA,14963,NA,3003,11543
207101,Acropora microclados,coral,ok,1844,11888,6468,14.766,16.842,0.384,19.467,9.819,2.076,0.091,2.076,NA,NA,NA,NA,1844,NA,NA,NA,NA
283347,Anthopleura elegantissima,coral,ok,13361,4815,28779,45.17,43.415,0.364,35.816,24.603,-1.756,0.285,12.324,NA,-12.547,-5.694,NA,5122,NA,5788,2451,NA
157965,Enallopsammia profunda,coral,ok,23037,4262,24820,53.449,48.195,0.665,52.003,28.926,-5.254,0.442,NA,1.028,NA,2.235,-15.091,NA,13829,NA,214,8994
207452,Favites acuticollis,coral,absent_in_mask,0,2964,0,NA,NA,NA,12.788,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
290266,Labyrinthocyathus langae,coral,ok,18640,20,34713,40.923,67.499,0.335,40.904,44.624,26.576,0.349,NA,37.352,NA,9.348,16.532,0,9053,NA,175,9412
207113,Acropora elseyi,coral,ok,1853,13463,6363,24.267,9.313,0.029,26.921,5.792,-14.954,0.085,-14.954,NA,NA,NA,NA,1853,NA,NA,NA,NA
207103,Acropora monticulosa,coral,ok,3209,398,20303,21.808,26.032,0.19,20.77,10.603,4.224,0.134,4.224,NA,NA,NA,NA,3209,NA,NA,NA,NA
368478,Acropora subulata,coral,ok,1800,16244,6674,24.606,9.582,0.023,22.685,7.169,-15.025,0.073,-15.025,NA,NA,NA,NA,1800,NA,NA,NA,NA
287911,Agaricia agaricites,coral,ok,3204,1959,4465,76.958,56.167,-0.147,63.284,41.895,-20.791,0.333,NA,-35.47,NA,44.989,-0.833,NA,2169,NA,244,791
207327,Cycloseris vaughani,coral,ok,13043,6233,30590,34.981,30.733,0.478,32.445,12.682,-4.248,0.262,-4.248,NA,NA,NA,NA,13043,NA,NA,NA,NA
286962,Dendrophyllia alcocki,coral,ok,6257,4161,38812,32.231,17.547,0.478,28.936,11.245,-14.684,0.127,-14.684,NA,NA,NA,NA,6257,NA,NA,NA,NA
762753,Dipsastraea amicorum,coral,ok,2826,2260,19856,19.505,7.758,0.078,17.23,4.789,-11.747,0.113,-11.747,NA,NA,NA,NA,2826,NA,NA,NA,NA
207418,Echinopora gemmacea,coral,ok,1492,18579,2906,15.983,7.327,0.206,30.15,4.906,-8.655,0.065,-8.655,NA,NA,NA,NA,1492,NA,NA,0,NA
207080,Acropora secale,coral,ok,3196,12628,10837,22.454,18.301,0.231,21.404,9.566,-4.153,0.12,-4.153,NA,NA,NA,NA,3196,NA,NA,NA,NA
288250,Acropora subglabra,coral,ok,1453,1649,2412,10.354,11.144,0.171,9.793,6.662,0.79,0.264,0.79,NA,NA,NA,NA,1453,NA,NA,NA,NA
287917,Agaricia undata,coral,ok,2433,11,20040,57.043,73.653,0.48,57.187,61.931,16.609,0.108,NA,16.609,NA,NA,NA,NA,2433,NA,0,0
288215,Acropora kirstyae,coral,absent_in_mask,0,3548,0,NA,NA,NA,17.162,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207129,Astreopora expansa,coral,absent_in_mask,0,2524,0,NA,NA,NA,8.261,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
716291,Cycloseris wellsi,coral,ok,0,682,44022,NA,NA,NA,26.673,38.497,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
286997,Flabellum (Ulocyathus) aotearoa,coral,ok,0,17572,23,NA,NA,NA,21.404,4.265,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207039,Acropora latistella,coral,ok,2760,15038,14130,24.407,10.727,0.04,26.358,7.53,-13.68,0.086,-13.68,NA,NA,NA,NA,2760,NA,NA,NA,NA
716611,Lithophyllon scabra,coral,absent_in_mask,0,3511,0,NA,NA,NA,15.345,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
207128,Astreopora myriophthalma,coral,ok,3628,14437,5854,29.678,15.62,0.302,30.238,9.375,-14.058,0.152,-14.058,NA,NA,NA,NA,3628,NA,NA,NA,NA
207326,Cycloseris distorta,coral,ok,940,3483,23179,12.565,20.113,0.046,16.515,10.03,7.548,0.034,7.548,NA,NA,NA,NA,940,NA,NA,NA,NA
207466,Goniastrea edwardsi,coral,ok,2142,3205,5971,31.917,26.073,0.235,24.316,10.072,-5.844,0.189,-5.844,NA,NA,NA,NA,2142,NA,NA,NA,NA
287035,Javania fusca,coral,ok,26861,19844,48844,26.678,12.657,0.318,19.659,7.96,-14.022,0.281,-14.022,NA,NA,NA,NA,26861,NA,0,0,NA
287946,Astreopora macrostoma,coral,absent_in_mask,0,4145,0,NA,NA,NA,17.498,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
286984,Eguchipsammia japonica,coral,absent_in_mask,0,1196,0,NA,NA,NA,4.196,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
283435,Epiactis prolifera,coral,ok,17083,9815,28322,43.113,60.516,0.453,35,34.766,17.403,0.309,19.014,NA,15.926,19.209,NA,4951,NA,9106,3026,NA
289939,Eusmilia fastigiata,coral,ok,9743,9806,2471,48.398,47.967,0.477,34.608,47.101,-0.431,0.442,NA,-3.361,NA,3.936,1.583,NA,4319,NA,735,4689
759975,Goniopora pedunculata,coral,ok,1493,3926,8844,31.508,13.64,0.256,24.473,4.293,-17.868,0.105,-17.868,NA,NA,NA,NA,1493,NA,NA,NA,NA
418859,Leptogorgia punicea,coral,ok,16302,11961,10782,64.601,71.318,0.519,57.878,52.657,6.717,0.418,NA,-4.436,NA,10.285,20.077,NA,8293,NA,1481,6528
207477,Leptoria phrygia,coral,ok,3244,2135,20164,29.808,25.231,0.241,24.629,9.228,-4.577,0.127,-4.577,NA,NA,NA,NA,3244,NA,NA,NA,NA
207046,Acropora microphthalma,coral,ok,4523,14157,21195,32.955,6.57,0.157,31.438,4.42,-26.385,0.113,-26.385,NA,NA,NA,NA,4523,NA,NA,NA,NA
288227,Acropora palmata,coral,ok,4818,3525,3848,60.62,56,0.263,44.487,43.232,-4.62,0.395,NA,-0.998,NA,-9.804,-13.338,NA,3302,NA,356,1160
592915,Actinauge verrillii,coral,ok,12623,30284,46883,37.193,72.576,0.314,47.392,51.984,35.383,0.141,NA,34.825,NA,62.166,NA,NA,12365,0,258,0
240753,Anthopleura sola,coral,ok,9313,8556,4720,38.886,67.268,0.136,26.773,53.643,28.382,0.412,14.058,NA,44.518,44.103,NA,4911,NA,2752,1650,NA
287008,Flabellum (Flabellum) floridanum,coral,ok,20167,11614,13226,54.754,49.843,0.589,54.886,37.717,-4.911,0.448,NA,-4.271,NA,-9.295,-4.99,NA,7341,NA,853,11973
216134,Isophyllia sinuosa,coral,ok,6318,2734,8789,59.247,78.193,0.389,49.701,65.063,18.945,0.354,NA,17.613,NA,13.166,24.219,NA,3968,NA,643,1707
288718,Leptoseris cailleti,coral,ok,2424,11,7674,51.96,72.877,0.418,52.135,59.993,20.917,0.24,NA,20.917,NA,NA,NA,NA,2424,NA,0,0
207290,Leptoseris solida,coral,ok,5444,12584,25641,27.31,62.244,0.115,24.681,46.783,34.934,0.125,34.934,NA,NA,NA,NA,5444,NA,NA,NA,NA
593072,Liponema multicorne,coral,ok,7004,68,6367,47.154,66.502,0.463,46.793,52.971,19.348,0.521,NA,18.07,NA,43.631,NA,NA,6654,NA,350,NA
207011,Acropora aspera,coral,ok,2611,5918,14855,20.475,14.065,0.23,17.3,5.441,-6.411,0.112,-6.411,NA,NA,NA,NA,2611,NA,NA,NA,NA
288342,Echinopora horrida,coral,absent_in_mask,0,5201,0,NA,NA,NA,19.257,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
724231,Chromoplexaura marki,coral,ok,21188,1345,84529,39.354,60.46,-0.176,38.151,37.733,21.106,0.198,51.264,NA,15.594,-25.549,NA,5656,NA,13467,2065,NA
286959,Cladopsammia manuelensis,coral,ok,22033,10832,11988,57.197,52.413,0.556,53.934,45.597,-4.784,0.491,NA,0.921,NA,-4.319,-8.849,NA,8768,NA,863,12402
