scientific_name,reason
Apistus carinatus,iucn_range_outside_us_eez
Apocryptodon madurensis,iucn_range_outside_us_eez
Apogon americanus,iucn_range_outside_us_eez
Apogon atradorsatus,iucn_range_outside_us_eez
Apogon atricaudus,iucn_range_outside_us_eez
Apogon ceramensis,iucn_range_outside_us_eez
Apogon coccineus,iucn_range_outside_us_eez
Apogon dammermani,iucn_range_outside_us_eez
Apogon dianthus,iucn_range_outside_us_eez
Apogon retrosella,iucn_range_outside_us_eez
Apogon robbyi,iucn_range_outside_us_eez
Apogon unicolor,iucn_range_outside_us_eez
Apogonichthyoides atripes,iucn_range_outside_us_eez
Apogonichthyoides melas,iucn_range_outside_us_eez
Apogonichthyoides niger,iucn_range_outside_us_eez
Apogonichthyoides nigripinnis,iucn_range_outside_us_eez
Apogonichthyoides opercularis,iucn_range_outside_us_eez
Apogonichthyoides timorensis,iucn_range_outside_us_eez
Apogonichthyoides umbratilis,iucn_range_outside_us_eez
Apristurus australis,iucn_range_outside_us_eez
Apristurus fedorovi,iucn_range_outside_us_eez
Apristurus laurussonii,iucn_range_outside_us_eez
Apristurus longicephalus,iucn_range_outside_us_eez
Apristurus platyrhynchus,iucn_range_outside_us_eez
Apterichtus equatorialis,iucn_range_outside_us_eez
Archamia bleekeri,iucn_range_outside_us_eez
Arcos erythrops,iucn_range_outside_us_eez
Arcos rhodospilus,iucn_range_outside_us_eez
Arcygobius baliurus,iucn_range_outside_us_eez
Argentina aliceae,iucn_range_outside_us_eez
Argyripnus pharos,iucn_range_outside_us_eez
Argyrops spinifer,iucn_range_outside_us_eez
Argyrosomus japonicus,iucn_range_outside_us_eez
Ariosoma anago,iucn_range_outside_us_eez
Ariosoma anagoides,iucn_range_outside_us_eez
Ariosoma gilberti,iucn_range_outside_us_eez
Ariosoma howensis,iucn_range_outside_us_eez
Arius arius,iucn_range_outside_us_eez
Arnoglossus brunneus,iucn_range_outside_us_eez
Arnoglossus dalgleishi,iucn_range_outside_us_eez
Arnoglossus elongatus,iucn_range_outside_us_eez
Arnoglossus japonicus,iucn_range_outside_us_eez
Arnoglossus macrolophus,iucn_range_outside_us_eez
Arnoglossus polyspilus,iucn_range_outside_us_eez
Arnoglossus scapha,iucn_range_outside_us_eez
Arnoglossus tapeinosoma,iucn_range_outside_us_eez
Arnoglossus tenuis,iucn_range_outside_us_eez
Arnoglossus waitei,iucn_range_outside_us_eez
Arothron caeruleopunctatus,iucn_range_outside_us_eez
Arothron firmamentum,iucn_range_outside_us_eez
Arothron immaculatus,iucn_range_outside_us_eez
Arotrolepis filicauda,iucn_range_outside_us_eez
Aruma histrio,iucn_range_outside_us_eez
Aseraggodes cyaneus,iucn_range_outside_us_eez
Aseraggodes dubius,iucn_range_outside_us_eez
Aseraggodes kaianus,iucn_range_outside_us_eez
Aseraggodes kobensis,iucn_range_outside_us_eez
Aseraggodes melanostictus,iucn_range_outside_us_eez
Aseraggodes xenicus,iucn_range_outside_us_eez
Asquamiceps hjorti,iucn_range_outside_us_eez
Assessor flavissimus,iucn_range_outside_us_eez
Assessor macneilli,iucn_range_outside_us_eez
Assiculus punctatus,iucn_range_outside_us_eez
Asterorhombus cocosensis,iucn_range_outside_us_eez
Asterorhombus intermedius,iucn_range_outside_us_eez
Asterropteryx atripes,iucn_range_outside_us_eez
Asterropteryx ensifera,iucn_range_outside_us_eez
Asterropteryx spinosa,iucn_range_outside_us_eez
Asterropteryx striata,iucn_range_outside_us_eez
Astraeosmilia curvata,iucn_range_outside_us_eez
Astreopora expansa,iucn_range_outside_us_eez
Astreopora macrostoma,iucn_range_outside_us_eez
Astronesthes ijimai,iucn_range_outside_us_eez
Astronesthes lampara,iucn_range_outside_us_eez
Astronesthes martensii,iucn_range_outside_us_eez
Asymbolus pallidus,iucn_range_outside_us_eez
Ateleopus japonicus,iucn_range_outside_us_eez
Atelomycterus marmoratus,iucn_range_outside_us_eez
Atherinella eriarcha,iucn_range_outside_us_eez
Atherinella nepenthe,iucn_range_outside_us_eez
Atherinomorus endrachtensis,iucn_range_outside_us_eez
Atractoscion aequidens,iucn_range_outside_us_eez
Atrobucca brevis,iucn_range_outside_us_eez
Atrobucca nibe,iucn_range_outside_us_eez
Atropus atropos,iucn_range_outside_us_eez
Atrosalarias hosokawai,iucn_range_outside_us_eez
Aulacocephalus temminckii,iucn_range_outside_us_eez
Aulopus bajacali,iucn_range_outside_us_eez
Aulotrachichthys latus,iucn_range_outside_us_eez
Aurigequula fasciata,iucn_range_outside_us_eez
Austronibea oedogenys,iucn_range_outside_us_eez
Awaous ocellaris,iucn_range_outside_us_eez
Axoclinus lucillae,iucn_range_outside_us_eez
Axoclinus nigricaudus,iucn_range_outside_us_eez
Bairdiella ensifera,iucn_range_outside_us_eez
Bajacalifornia calcarata,iucn_range_outside_us_eez
Balaenoptera bonaerensis,iucn_range_outside_us_eez
Barathronus maculatus,iucn_range_outside_us_eez
Barbulifer pantherinus,iucn_range_outside_us_eez
Barbuligobius boehlkei,iucn_range_outside_us_eez
Bathophilus filifer,iucn_range_outside_us_eez
Bathyarctus rubens,iucn_range_outside_us_eez
Bathycongrus macrurus,iucn_range_outside_us_eez
Bathycongrus retrotinctus,iucn_range_outside_us_eez
Bathygadus favosus,iucn_range_outside_us_eez
Bathygobius andrei,iucn_range_outside_us_eez
Bathygobius hongkongensis,iucn_range_outside_us_eez
Bathygobius laddi,iucn_range_outside_us_eez
Bathygobius lineatus,iucn_range_outside_us_eez
Bathygobius meggitti,iucn_range_outside_us_eez
Bathygobius ramosus,iucn_range_outside_us_eez
Bathylagoides argyrogaster,iucn_range_outside_us_eez
Bathymicrops regis,iucn_range_outside_us_eez
Bathyonus caudalis,iucn_range_outside_us_eez
Bathypterois atricolor,iucn_range_outside_us_eez
Bathypterois guentheri,iucn_range_outside_us_eez
Bathyraja diplotaenia,iucn_range_outside_us_eez
Bathyraja isotrachys,iucn_range_outside_us_eez
Bathyraja smirnovi,iucn_range_outside_us_eez
Bathyraja trachouros,iucn_range_outside_us_eez
Bathyuroconger parvibranchialis,iucn_range_outside_us_eez
Batrachoides gilberti,iucn_range_outside_us_eez
Bellator gymnostethus,iucn_range_outside_us_eez
Bellator loxias,iucn_range_outside_us_eez
Bellator ribeiroi,iucn_range_outside_us_eez
Bellator xenisma,iucn_range_outside_us_eez
Belonepterygion fasciolatum,iucn_range_outside_us_eez
Benthosema pterotum,iucn_range_outside_us_eez
Berardius arnuxii,iucn_range_outside_us_eez
Beryx mollis,iucn_range_outside_us_eez
Bhanotia fasciolata,iucn_range_outside_us_eez
Blastomussa merleti,iucn_range_outside_us_eez
Blastomussa wellsi,iucn_range_outside_us_eez
Blenniella bilitonensis,iucn_range_outside_us_eez
Blenniella interrupta,iucn_range_outside_us_eez
Blenniella periophthalmus,iucn_range_outside_us_eez
Bodianus bilunulatus,iucn_range_outside_us_eez
Bodianus bimaculatus,iucn_range_outside_us_eez
Bodianus eclancheri,iucn_range_outside_us_eez
Bodianus flavifrons,iucn_range_outside_us_eez
Bodianus izuensis,iucn_range_outside_us_eez
Bodianus leucosticticus,iucn_range_outside_us_eez
Bodianus macrourus,iucn_range_outside_us_eez
Bodianus masudai,iucn_range_outside_us_eez
Bodianus mesothorax,iucn_range_outside_us_eez
Bodianus oxycephalus,iucn_range_outside_us_eez
Bodianus perditio,iucn_range_outside_us_eez
Bodianus unimaculatus,iucn_range_outside_us_eez
Boleophthalmus birdsongi,iucn_range_outside_us_eez
Boleophthalmus boddarti,iucn_range_outside_us_eez
Bollmannia marginalis,iucn_range_outside_us_eez
Bollmannia ocellata,iucn_range_outside_us_eez
Bollmannia stigmatura,iucn_range_outside_us_eez
Bollmannia umbrosa,iucn_range_outside_us_eez
Bothus constellatus,iucn_range_outside_us_eez
Bothus myriaster,iucn_range_outside_us_eez
Brachaluteres jacksonianus,iucn_range_outside_us_eez
Brachaluteres taylori,iucn_range_outside_us_eez
Brachaluteres ulvarum,iucn_range_outside_us_eez
Brachirus niger,iucn_range_outside_us_eez
Brachirus orientalis,iucn_range_outside_us_eez
Brachirus pan,iucn_range_outside_us_eez
Branchiostegus argentatus,iucn_range_outside_us_eez
Branchiostegus serratus,iucn_range_outside_us_eez
Branchiostegus wardi,iucn_range_outside_us_eez
Breviraja mouldi,iucn_range_outside_us_eez
Brevitrygon imbricata,iucn_range_outside_us_eez
Bryaninops isis,iucn_range_outside_us_eez
Bryaninops nexus,iucn_range_outside_us_eez
Bryaninops ridens,iucn_range_outside_us_eez
Bryx veleronis,iucn_range_outside_us_eez
Bufoceratias thele,iucn_range_outside_us_eez
Bulbonaricus davaoensis,iucn_range_outside_us_eez
Butis amboinensis,iucn_range_outside_us_eez
Butis humeralis,iucn_range_outside_us_eez
