aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
1055877,Callogorgia kinoshitai,Cnidaria,Octocorallia,639,35,1967,2017,FALSE,FALSE,NA
233903,Theora lubrica,Mollusca,Bivalvia,155,35,1986,2019,FALSE,FALSE,available
279094,Genicanthus personatus,Chordata,Teleostei,305,35,1975,2017,FALSE,FALSE,NA
334498,Pholoides asperus,Annelida,Polychaeta,60,35,1949,2022,FALSE,FALSE,NA
332645,Travisia parva,Annelida,Polychaeta,81,35,1965,2013,FALSE,FALSE,NA
127767,Boroecia maxima,Arthropoda,Ostracoda,46,35,1950,1955,FALSE,FALSE,available
366670,Pagurus confragosus,Arthropoda,Malacostraca,38,35,1888,2011,FALSE,FALSE,NA
220838,Acrocalanus gracilis,Arthropoda,Copepoda,185,35,1902,2021,FALSE,FALSE,NA
394864,Caprella californica,Arthropoda,Malacostraca,80,35,1971,2019,FALSE,FALSE,NA
130717,Polygordius triestinus,Annelida,Polychaeta,60,35,1974,1980,FALSE,FALSE,not available
1311283,Pleurocorallium niveum,Cnidaria,Octocorallia,439,35,1902,2013,FALSE,FALSE,NA
110152,Heterocapsa rotundata,Myzozoa,Dinophyceae,387,35,1980,2022,FALSE,FALSE,available
326622,Aricidea tetrabranchia,Annelida,Polychaeta,380,35,1964,1985,FALSE,FALSE,not available
374658,Dotyella hawaiiensis,Rhodophyta,Florideophyceae,77,35,1959,2010,FALSE,FALSE,NA
149306,Bellerochea malleus,Heterokontophyta,Bacillariophyceae,79,35,1967,2017,FALSE,FALSE,available
1735073,Herpochondria borealis,Rhodophyta,Florideophyceae,115,35,2001,2022,FALSE,FALSE,NA
337052,Travisia gravieri,Annelida,Polychaeta,345,35,1983,1986,FALSE,FALSE,not available
111631,Anguinella palmata,Bryozoa,Gymnolaemata,117,35,1909,2019,FALSE,FALSE,available
241032,Ranilia constricta,Arthropoda,Malacostraca,39,35,1975,2011,FALSE,FALSE,NA
