aphia,species,phylum,class,rec_usa,cells_usa,min_year_usa,max_year_usa,in_v9,has_rng,mp_sdm
168989,Lissodendoryx (Anomodoryx) sigmata,Porifera,Demospongiae,45,31,1955,2015,FALSE,FALSE,NA
750375,Siphonaria naufragum,Mollusca,Gastropoda,62,31,1927,2015,FALSE,FALSE,NA
548940,Heterophoxus ellisi,Arthropoda,Malacostraca,38,31,2003,2003,FALSE,FALSE,NA
374656,Dasya kristeniae,Rhodophyta,Florideophyceae,58,31,1981,2007,FALSE,FALSE,NA
144782,Taenioma perpusillum,Rhodophyta,Florideophyceae,58,30,1963,2007,FALSE,FALSE,NA
582522,Isidella tentaculum,Cnidaria,Octocorallia,689,30,2002,2020,FALSE,FALSE,NA
1346683,Kryptoperidinium triquetrum,Myzozoa,Dinophyceae,273,30,1976,2021,FALSE,FALSE,available
285846,Stylaster alaskanus,Cnidaria,Hydrozoa,56,30,1893,2016,FALSE,FALSE,NA
1338678,Solella monniotae,Bryozoa,Gymnolaemata,96,30,1984,1985,FALSE,FALSE,not available
130781,Harmothoe spinifera,Annelida,Polychaeta,179,30,1975,1983,FALSE,FALSE,available
149127,Chaetoceros similis,Heterokontophyta,Bacillariophyceae,35,30,1975,1996,FALSE,FALSE,available
333651,Hypereteone fauchaldi,Annelida,Polychaeta,34,30,1975,2011,FALSE,FALSE,NA
417221,Eutintinnus tenuis,Ciliophora,Oligotrichea,64,30,2006,2016,FALSE,FALSE,NA
879965,Macoploma extenuata,Mollusca,Bivalvia,41,30,1976,2015,FALSE,FALSE,NA
157207,Agarum clathratum,Ochrophyta,Phaeophyceae,801,30,2003,2012,FALSE,FALSE,NA
104292,Chiridius obtusifrons,Arthropoda,Copepoda,61,30,1957,1998,FALSE,FALSE,available
111285,Turbicellepora avicularis,Bryozoa,Gymnolaemata,270,30,1903,1967,FALSE,FALSE,available
1729712,Chaetocirratulus gayheadius,Annelida,Polychaeta,55,30,1975,1978,FALSE,FALSE,NA
451193,Harbansus bowenae,Arthropoda,Ostracoda,57,30,1975,2006,FALSE,FALSE,NA
247376,Neotanais armiger,Arthropoda,Malacostraca,57,30,1963,2019,FALSE,FALSE,NA
157898,Olencira praegustator,Arthropoda,Malacostraca,35,30,1894,1990,FALSE,FALSE,NA
120111,Mysis litoralis,Arthropoda,Malacostraca,45,30,1880,1980,FALSE,FALSE,available
423307,Cytheropteron champlainum,Arthropoda,Ostracoda,31,30,NA,NA,FALSE,FALSE,NA
224909,Trachypollia turricula,Mollusca,Gastropoda,35,30,1966,2010,FALSE,FALSE,NA
247514,Salemia coeca,Arthropoda,Malacostraca,55,30,1972,2003,FALSE,FALSE,NA
333782,Leiochrides pallidior,Annelida,Polychaeta,49,30,1975,1982,FALSE,FALSE,NA
329073,Myriochele olgae,Annelida,Polychaeta,58,30,1988,2006,FALSE,FALSE,available
125083,Amphiura (Amphiura) grandisquama,Echinodermata,Ophiuroidea,90,30,1877,2008,FALSE,FALSE,not available
149291,Chaetoceros brevis,Heterokontophyta,Bacillariophyceae,200,30,1934,2016,FALSE,FALSE,available
637672,Vertebrata fucoides,Rhodophyta,Florideophyceae,193,30,1904,2000,FALSE,FALSE,available
113047,Bulimina striata,Foraminifera,Globothalamea,132,30,1983,1997,FALSE,FALSE,available
536683,Siliqua lucida,Mollusca,Bivalvia,45,30,1939,2003,FALSE,FALSE,NA
178911,Lasaea adansoni,Mollusca,Bivalvia,55,30,1939,2021,FALSE,FALSE,available
327952,Exallopus cropion,Annelida,Polychaeta,57,30,1983,1986,FALSE,FALSE,NA
130697,Litocorsa stremma,Annelida,Polychaeta,225,30,1975,1978,FALSE,FALSE,not available
420361,Stellatoma stellata,Mollusca,Gastropoda,41,30,1918,2019,FALSE,FALSE,NA
1420845,Coanicardita ventricosa,Mollusca,Bivalvia,31,30,1938,2017,FALSE,FALSE,NA
1361158,Chloroparvula pacifica,Chlorophyta,Chloropicophyceae,709,30,2021,2022,FALSE,FALSE,NA
130294,Euclymene oerstedii,Annelida,Polychaeta,134,30,1975,1978,FALSE,FALSE,available
441520,Chorilia longipes,Arthropoda,Malacostraca,411,30,1965,2024,FALSE,FALSE,NA
157927,Corymorpha pendula,Cnidaria,Hydrozoa,46,30,1877,1985,FALSE,FALSE,NA
103560,Didemnum albidum,Chordata,Ascidiacea,33,30,1873,2015,FALSE,FALSE,available
1356750,Gymnogongrus durvillei,Rhodophyta,Florideophyceae,69,30,1900,2005,FALSE,FALSE,NA
515551,Crangon nigricauda,Arthropoda,Malacostraca,67,30,1912,2003,FALSE,FALSE,NA
220914,Candacia simplex,Arthropoda,Copepoda,38,30,1889,2006,FALSE,FALSE,available
457631,Niteomica captainkiddae,Mollusca,Caudofoveata,55,30,1981,2000,FALSE,FALSE,NA
327589,Eulalia levicornuta,Annelida,Polychaeta,35,30,2003,2003,FALSE,FALSE,NA
111592,Watersipora subtorquata,Bryozoa,Gymnolaemata,168,30,1963,2022,FALSE,FALSE,available
158412,Dissodactylus mellitae,Arthropoda,Malacostraca,46,30,1900,2006,FALSE,FALSE,NA
