dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
chl_baseline_2000_2018_depthsurf,chl,baseline,2000,2018,depthsurf,Bio-Oracle Chlorophyll [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range"
chl_ssp119_2020_2100_depthsurf,chl,ssp119,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP119 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
chl_ssp126_2020_2100_depthsurf,chl,ssp126,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP126 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
chl_ssp245_2020_2100_depthsurf,chl,ssp245,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP245 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
chl_ssp370_2020_2100_depthsurf,chl,ssp370,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP370 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
chl_ssp460_2020_2100_depthsurf,chl,ssp460,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP460 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
chl_ssp585_2020_2100_depthsurf,chl,ssp585,2020,2100,depthsurf,Bio-Oracle Chlorophyll [depthSurf] SSP585 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
chl_max (Maximum Chlorophyll, mg m-3)
chl_ltmax (Long-term maximum Chlorophyll, mg m-3)
chl_mean (Average Chlorophyll, mg m-3)
chl_ltmin (Long-term minimum Chlorophyll, mg m-3)
chl_min (Minimum Chlorophyll, mg m-3)
chl_range (Range Chlorophyll, mg m-3)
chl_sd (Standard deviation Chlorophyll, mg m-3)
","chl_ltmax, chl_ltmin, chl_max, chl_mean, chl_min, chl_range, chl_sd"
dfe_baseline_2000_2018_depthmax,dfe,baseline,2000,2018,depthmax,Bio-Oracle DissolvedIron [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range"
dfe_ssp119_2020_2100_depthmax,dfe,ssp119,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP119 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
dfe_ssp126_2020_2100_depthmax,dfe,ssp126,2020,2100,depthmax,Bio-Oracle DissolvedIron [depthMax] SSP126 2020-2100.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
dfe_max (Maximum DissolvedIron, MMol' 'M-3)
dfe_ltmax (Long-term maximum DissolvedIron, MMol' 'M-3)
dfe_mean (Average DissolvedIron, MMol' 'M-3)
dfe_ltmin (Long-term minimum DissolvedIron, MMol' 'M-3)
dfe_min (Minimum DissolvedIron, MMol' 'M-3)
dfe_range (Range DissolvedIron, MMol' 'M-3)
dfe_sd (Standard deviation DissolvedIron, MMol' 'M-3)
","dfe_ltmax, dfe_ltmin, dfe_max, dfe_mean, dfe_min, dfe_range, dfe_sd"
