spcode
A007
A0HK
A0IJ
B00E
B00M
B05T
B05X
B061
B065
B079
B07C
B08B
B08C
B08X
B08Z
B090
B094
B0AF
B0AI
B0B3
B0DM
C00E
C00F
C00S
C00U
C02J
E04W
E071
E07L
