dataset_id,category,scenario,year_min,year_max,depth,title,summary,variables
o2_baseline_2000_2018_depthmean,o2,baseline,2000,2018,depthmean,Bio-Oracle DissolvedMolecularOxygen [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
o2_max (Maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmax (Long-term maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_mean (Average DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmin (Long-term minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_min (Minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_range (Range DissolvedMolecularOxygen, MMol' 'M-3)
","o2_ltmax, o2_ltmin, o2_max, o2_mean, o2_min, o2_range"
o2_baseline_2000_2018_depthmin,o2,baseline,2000,2018,depthmin,Bio-Oracle DissolvedMolecularOxygen [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
o2_max (Maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmax (Long-term maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_mean (Average DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmin (Long-term minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_min (Minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_range (Range DissolvedMolecularOxygen, MMol' 'M-3)
","o2_ltmax, o2_ltmin, o2_max, o2_mean, o2_min, o2_range"
o2_baseline_2000_2018_depthsurf,o2,baseline,2000,2018,depthsurf,Bio-Oracle DissolvedMolecularOxygen [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
o2_max (Maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmax (Long-term maximum DissolvedMolecularOxygen, MMol' 'M-3)
o2_mean (Average DissolvedMolecularOxygen, MMol' 'M-3)
o2_ltmin (Long-term minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_min (Minimum DissolvedMolecularOxygen, MMol' 'M-3)
o2_range (Range DissolvedMolecularOxygen, MMol' 'M-3)
","o2_ltmax, o2_ltmin, o2_max, o2_mean, o2_min, o2_range"
mlotst_baseline_2000_2019_depthsurf,mlotst,baseline,2000,2019,depthsurf,Bio-Oracle MixedLayerDepth [depthSurf] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
mlotst_max (Maximum MixedLayerDepth, m)
mlotst_ltmax (Long-term maximum MixedLayerDepth, m)
mlotst_mean (Average MixedLayerDepth, m)
mlotst_ltmin (Long-term minimum MixedLayerDepth, m)
mlotst_min (Minimum MixedLayerDepth, m)
mlotst_range (Range MixedLayerDepth, m)
","mlotst_ltmax, mlotst_ltmin, mlotst_max, mlotst_mean, mlotst_min, mlotst_range"
no3_baseline_2000_2018_depthmax,no3,baseline,2000,2018,depthmax,Bio-Oracle Nitrate [depthMax] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
no3_max (Maximum Nitrate, MMol' 'M-3)
no3_ltmax (Long-term maximum Nitrate, MMol' 'M-3)
no3_mean (Average Nitrate, MMol' 'M-3)
no3_ltmin (Long-term minimum Nitrate, MMol' 'M-3)
no3_min (Minimum Nitrate, MMol' 'M-3)
no3_range (Range Nitrate, MMol' 'M-3)
","no3_ltmax, no3_ltmin, no3_max, no3_mean, no3_min, no3_range"
no3_baseline_2000_2018_depthmean,no3,baseline,2000,2018,depthmean,Bio-Oracle Nitrate [depthMean] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
no3_max (Maximum Nitrate, MMol' 'M-3)
no3_ltmax (Long-term maximum Nitrate, MMol' 'M-3)
no3_mean (Average Nitrate, MMol' 'M-3)
no3_ltmin (Long-term minimum Nitrate, MMol' 'M-3)
no3_min (Minimum Nitrate, MMol' 'M-3)
no3_range (Range Nitrate, MMol' 'M-3)
","no3_ltmax, no3_ltmin, no3_max, no3_mean, no3_min, no3_range"
no3_baseline_2000_2018_depthmin,no3,baseline,2000,2018,depthmin,Bio-Oracle Nitrate [depthMin] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
no3_max (Maximum Nitrate, MMol' 'M-3)
no3_ltmax (Long-term maximum Nitrate, MMol' 'M-3)
no3_mean (Average Nitrate, MMol' 'M-3)
no3_ltmin (Long-term minimum Nitrate, MMol' 'M-3)
no3_min (Minimum Nitrate, MMol' 'M-3)
no3_range (Range Nitrate, MMol' 'M-3)
","no3_ltmax, no3_ltmin, no3_max, no3_mean, no3_min, no3_range"
no3_baseline_2000_2018_depthsurf,no3,baseline,2000,2018,depthsurf,Bio-Oracle Nitrate [depthSurf] Baseline 2000-2018.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
no3_max (Maximum Nitrate, MMol' 'M-3)
no3_ltmax (Long-term maximum Nitrate, MMol' 'M-3)
no3_mean (Average Nitrate, MMol' 'M-3)
no3_ltmin (Long-term minimum Nitrate, MMol' 'M-3)
no3_min (Minimum Nitrate, MMol' 'M-3)
no3_range (Range Nitrate, MMol' 'M-3)
","no3_ltmax, no3_ltmin, no3_max, no3_mean, no3_min, no3_range"
thetao_baseline_2000_2019_depthmax,thetao,baseline,2000,2019,depthmax,Bio-Oracle OceanTemperature [depthMax] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
thetao_max (Maximum OceanTemperature, degree_C)
thetao_ltmax (Long-term maximum OceanTemperature, degree_C)
thetao_mean (Average OceanTemperature, degree_C)
thetao_ltmin (Long-term minimum OceanTemperature, degree_C)
thetao_min (Minimum OceanTemperature, degree_C)
thetao_range (Range OceanTemperature, degree_C)
","thetao_ltmax, thetao_ltmin, thetao_max, thetao_mean, thetao_min, thetao_range"
thetao_baseline_2000_2019_depthmean,thetao,baseline,2000,2019,depthmean,Bio-Oracle OceanTemperature [depthMean] Baseline 2000-2019.,"Uses attributes recommended by https://cfconventions.org

cdm_data_type = Grid
VARIABLES (all of which use the dimensions [time][latitude][longitude]):
thetao_max (Maximum OceanTemperature, degree_C)
thetao_ltmax (Long-term maximum OceanTemperature, degree_C)
thetao_mean (Average OceanTemperature, degree_C)
thetao_ltmin (Long-term minimum OceanTemperature, degree_C)
thetao_min (Minimum OceanTemperature, degree_C)
thetao_range (Range OceanTemperature, degree_C)
","thetao_ltmax, thetao_ltmin, thetao_max, thetao_mean, thetao_min, thetao_range"
