"common_name","scientific_name","also_known_as","category","protected_status","region","species_url"
"Pacific Wahoo","Acanthocybium solanderi","Kingfish, Peto, Guarapucu, Ono, Thazard batard, Wahoo","Fish; Wild-Caught Seafood",NA,"; Pacific IslandsRegion; West Coast","https://www.fisheries.noaa.gov/species/pacific-wahoo"
"Pacific White-Sided Dolphin","Lagenorhynchus obliquidens",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II","; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/pacific-white-sided-dolphin"
"Pacific Whiting","Mercluccius productus","Pacific hake","Fish; Wild-Caught Seafood",NA,"; West Coast","https://www.fisheries.noaa.gov/species/pacific-whiting"
"Pacific Yellowfin Tuna","Thunnus albacares","Ahi, Kihada","Fish; Highly Migratory Fish; Wild-Caught Seafood",NA,"; Pacific IslandsRegion; West Coast","https://www.fisheries.noaa.gov/species/pacific-yellowfin-tuna"
"Pantropical Spotted Dolphin","Stenella attenuata",NA,"Dolphins & Porpoises","MMPA Protected; MMPA Depleted; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; Southeast","https://www.fisheries.noaa.gov/species/pantropical-spotted-dolphin"
"Pavona diffluens Coral","Pavona diffluens",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/pavona-diffluens-coral"
"Petrale Sole","Eopsetta jordani","Sole, Flounder, California sole, Brill, Petral, Jordan’s flounder, Round-nosed sole","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/petrale-sole"
"Pillar Coral","Dendrogyra cylindrus",NA,"Invertebrates; Corals","ESA Endangered; CITES Appendix II; SPAW Annex III","; Southeast","https://www.fisheries.noaa.gov/species/pillar-coral"
"Pink Abalone","Haliotis corrugata",NA,"Invertebrates; Abalone",NA,"; West Coast","https://www.fisheries.noaa.gov/species/pink-abalone"
"Pink Salmon","Oncorhynchus gorbuscha","Humpback salmon, Humpy, Gorbusch, Haddo, Holia","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/pink-salmon"
"Pink Shrimp","Farfantepenaeus duorarum","Spotted shrimp, Hopper, Pink spotted shrimp, Brown spotted shrimp, Grooved shrimp, Green shrimp, Pink night shrimp, Red shrimp, Skipper, Pushed shrimp","Invertebrates; Shrimp; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/pink-shrimp"
"Pinto Abalone","Haliotis kamtschatkana","Northern Abalone, Threaded Abalone","Invertebrates; Abalone",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/pinto-abalone"
"Pocillopora meandrina Coral","Pocillopora meandrina","Cauliflower coral","Invertebrates; Corals",NA,"; Pacific Islands","https://www.fisheries.noaa.gov/species/pocillopora-meandrina-coral"
"Porites napopora Coral","Porites napopora",NA,"Invertebrates; Corals","ESA Threatened - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/porites-napopora-coral"
"Pygmy Killer Whale","Feresa attenuata",NA,"Dolphins & Porpoises; Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; Southeast","https://www.fisheries.noaa.gov/species/pygmy-killer-whale"
"Pygmy Sperm Whale","Kogia breviceps",NA,"Whales","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/pygmy-sperm-whale"
"Queen Conch","Aliger gigas","Strombus gigas, Lobatus gigas, Conch, Pink conch, Carrucho, Caracol reina","Invertebrates; Protected Invertebrate; Wild-Caught Seafood","ESA Threatened; CITES Appendix II; SPAW Annex III","; Southeast","https://www.fisheries.noaa.gov/species/queen-conch"
"Red Grouper","Epinephelus morio","Grouper, Cherna americana, Negre","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/red-grouper"
"Red Hake","Urophycis chuss","Ling, Squirrel hake","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/red-hake"
"Red King Crab","Paralithodes camtschaticus","Alaska king crab, King crab","Invertebrates; Crab; Wild-Caught Seafood",NA,"; Alaska","https://www.fisheries.noaa.gov/species/red-king-crab"
"Red Sea Giant Clam","Tridacna squamosina",NA,"Invertebrates; Clams, Mussels, Oysters","ESA Proposed - Endangered; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/red-sea-giant-clam"
"Red Snapper","Lutjanus campechanus","Snapper, Genuine red snapper, American reds, Spot snapper","Fish; Wild-Caught Seafood",NA,"; Southeast","https://www.fisheries.noaa.gov/species/red-snapper"
"Rex Sole","Glyptocephalus zachirus","Witch sole, Threadfin sole","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/rex-sole"
"Ribbon Seal","Histriophoca fasciata",NA,"Seals & Sea Lions","MMPA Protected","; Alaska","https://www.fisheries.noaa.gov/species/ribbon-seal"
"Rice's Whale","Balaenoptera ricei",NA,"Whales","ESA Endangered; MMPA Protected; MMPA Depleted; CITES Appendix I","; Southeast","https://www.fisheries.noaa.gov/species/rices-whale"
"Ringed Seal","Pusa hispida",NA,"Seals & Sea Lions","ESA Endangered - Foreign; ESA Endangered - Foreign; ESA Threatened; ESA Threatened - Foreign; ESA Threatened - Foreign; MMPA Protected; MMPA Depleted; MMPA Depleted; MMPA Depleted; MMPA Depleted; MMPA Depleted","; Alaska","https://www.fisheries.noaa.gov/species/ringed-seal"
"Risso’s Dolphin","Grampus griseus",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; AlaskaRegion; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/rissos-dolphin"
"River Herring","Alosa pseudoharengus, Alosa aestivalis",NA,"Fish",NA,"; New England/Mid-Atlantic","https://www.fisheries.noaa.gov/species/river-herring"
"Rock Sole","Lepidopsetta billineta (southern rock sole) and Lepidopsetta polyxystra (northern rock sole)","Sole, Flounder, Rock flounder, Two-lined flounder, White-bellied flounder","Fish; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/rock-sole"
"Rough Cactus Coral","Mycetophyllia ferox",NA,"Invertebrates; Corals","ESA Threatened; CITES Appendix II; SPAW Annex III","; Southeast","https://www.fisheries.noaa.gov/species/rough-cactus-coral"
"Rough-Toothed Dolphin","Steno bredanensis",NA,"Dolphins & Porpoises","MMPA Protected; CITES Appendix II; SPAW Annex II","; New England/Mid-AtlanticRegion; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/rough-toothed-dolphin"
"Sablefish","Anoplopoma fimbria","Black cod, Butterfish, Skil, Beshow, Coalfish","Fish; Farmed Seafood; Wild-Caught Seafood",NA,"; AlaskaRegion; West Coast","https://www.fisheries.noaa.gov/species/sablefish"
"Sakhalin Sturgeon","Acipenser mikadoi",NA,"Fish; Protected Fish","ESA Endangered - Foreign; CITES Appendix II","; Foreign","https://www.fisheries.noaa.gov/species/sakhalin-sturgeon"
"Sandbar Shark","Carcharhinus plumbeus","Thickskin shark, Brown shark","Fish; Highly Migratory Fish; Sharks; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/sandbar-shark"
"Sawback Angelshark","Squatina aculeata",NA,"Fish; Protected Fish; Sharks","ESA Endangered - Foreign","; Foreign","https://www.fisheries.noaa.gov/species/sawback-angelshark"
"Scalloped Hammerhead Shark","Sphyrna lewini",NA,"Fish; Highly Migratory Fish; Protected Fish; Sharks","ESA Endangered; ESA Endangered - Foreign; ESA Threatened; ESA Threatened; CITES Appendix II; SPAW Annex III","; Pacific IslandsRegion; SoutheastRegion; West Coast","https://www.fisheries.noaa.gov/species/scalloped-hammerhead-shark"
"Scup","Stenotomus chrysops","Porgy, Maiden, Fair maid, Ironsides, Northern porgy","Fish; Wild-Caught Seafood",NA,"; New England/Mid-AtlanticRegion; Southeast","https://www.fisheries.noaa.gov/species/scup"
